,품목명,품목코드,품종명,품종코드,"상태(상품, 중품)",상태코드,단위,일자(조회일자),조회일자 가격,1일전 일자(조회일자 기준),1일전 가격,1주일전 일자(조회일자 기준),1주일전 가격,2주일전 일자(조회일자 기준),2주일전 가격,1개월전 일자(조회일자 기준),1개월전 가격,1년전 일자(조회일자 기준),1년전 가격,평년일자,평년 가격,날짜
16,감자,152,수미(20kg),01,상품,04,20kg,당일 (04/09),53000.0,1일전 (04/08),23800.0,1주일전 (04/02),25800.0,2주일전 (03/26),25600.0,1개월전,22550.0,1년전,60240.0,일평년,43340.0,2020-04-09
17,감자,152,수미(20kg),01,중품,05,20kg,당일 (04/09),46800.0,1일전 (04/08),19600.0,1주일전 (04/02),21400.0,2주일전 (03/26),21200.0,1개월전,18050.0,1년전,53600.0,일평년,38353.0,2020-04-09
16,감자,152,수미(20kg),01,상품,04,20kg,당일 (04/10),54600.0,1일전 (04/09),53000.0,1주일전 (04/03),26800.0,2주일전 (03/27),25600.0,1개월전,22100.0,1년전,66800.0,일평년,45733.0,2020-04-10
17,감자,152,수미(20kg),01,중품,05,20kg,당일 (04/10),49000.0,1일전 (04/09),46800.0,1주일전 (04/03),22400.0,2주일전 (03/27),21200.0,1개월전,17600.0,1년전,60200.0,일평년,40693.0,2020-04-10
16,감자,152,수미(20kg),01,상품,04,20kg,당일 (04/11),,1일전 (04/10),54600.0,1주일전 (04/04),,2주일전 (03/28),,1개월전,22100.0,1년전,66800.0,일평년,45733.0,2020-04-11
17,감자,152,수미(20kg),01,중품,05,20kg,당일 (04/11),,1일전 (04/10),49000.0,1주일전 (04/04),,2주일전 (03/28),,1개월전,17600.0,1년전,60200.0,일평년,40693.0,2020-04-11
16,감자,152,수미(20kg),01,상품,04,20kg,당일 (04/13),54200.0,1일전 (04/12),,1주일전 (04/06),26000.0,2주일전 (03/30),25400.0,1개월전,22080.0,1년전,64050.0,일평년,45110.0,2020-04-13
17,감자,152,수미(20kg),01,중품,05,20kg,당일 (04/13),48600.0,1일전 (04/12),,1주일전 (04/06),21600.0,2주일전 (03/30),21000.0,1개월전,17680.0,1년전,57450.0,일평년,39827.0,2020-04-13
16,감자,152,수미(20kg),01,상품,04,20kg,당일 (04/14),55600.0,1일전 (04/13),54200.0,1주일전 (04/07),25000.0,2주일전 (03/31),26200.0,1개월전,22150.0,1년전,64050.0,일평년,45603.0,2020-04-14
17,감자,152,수미(20kg),01,중품,05,20kg,당일 (04/14),50000.0,1일전 (04/13),48600.0,1주일전 (04/07),20600.0,2주일전 (03/31),21800.0,1개월전,17750.0,1년전,57450.0,일평년,40270.0,2020-04-14
16,감자,152,수미(20kg),01,상품,04,20kg,당일 (04/15),,1일전 (04/14),55600.0,1주일전 (04/08),23800.0,2주일전 (04/01),25800.0,1개월전,22150.0,1년전,64050.0,일평년,45603.0,2020-04-15
17,감자,152,수미(20kg),01,중품,05,20kg,당일 (04/15),,1일전 (04/14),50000.0,1주일전 (04/08),19600.0,2주일전 (04/01),21400.0,1개월전,17750.0,1년전,57450.0,일평년,40270.0,2020-04-15
16,감자,152,수미(20kg),01,상품,04,20kg,당일 (04/16),53800.0,1일전 (04/15),,1주일전 (04/09),53000.0,2주일전 (04/02),25800.0,1개월전,22480.0,1년전,62880.0,일평년,46200.0,2020-04-16
17,감자,152,수미(20kg),01,중품,05,20kg,당일 (04/16),48600.0,1일전 (04/15),,1주일전 (04/09),46800.0,2주일전 (04/02),21400.0,1개월전,18080.0,1년전,56280.0,일평년,40827.0,2020-04-16
16,감자,152,수미(20kg),01,상품,04,20kg,당일 (04/17),53200.0,1일전 (04/16),53800.0,1주일전 (04/10),54600.0,2주일전 (04/03),26800.0,1개월전,22960.0,1년전,62000.0,일평년,46360.0,2020-04-17
17,감자,152,수미(20kg),01,중품,05,20kg,당일 (04/17),48000.0,1일전 (04/16),48600.0,1주일전 (04/10),49000.0,2주일전 (04/03),22400.0,1개월전,18560.0,1년전,55400.0,일평년,40973.0,2020-04-17
16,감자,152,수미(20kg),01,상품,04,20kg,당일 (04/18),,1일전 (04/17),53200.0,1주일전 (04/11),,2주일전 (04/04),,1개월전,22960.0,1년전,62000.0,일평년,46360.0,2020-04-18
17,감자,152,수미(20kg),01,중품,05,20kg,당일 (04/18),,1일전 (04/17),48000.0,1주일전 (04/11),,2주일전 (04/04),,1개월전,18560.0,1년전,55400.0,일평년,40973.0,2020-04-18
16,감자,152,수미(20kg),01,상품,04,20kg,당일 (04/20),52800.0,1일전 (04/19),,1주일전 (04/13),54200.0,2주일전 (04/06),26000.0,1개월전,25000.0,1년전,57750.0,일평년,45090.0,2020-04-20
17,감자,152,수미(20kg),01,중품,05,20kg,당일 (04/20),47600.0,1일전 (04/19),,1주일전 (04/13),48600.0,2주일전 (04/06),21600.0,1개월전,20600.0,1년전,51150.0,일평년,39663.0,2020-04-20
16,감자,152,수미(20kg),01,상품,04,20kg,당일 (04/21),54000.0,1일전 (04/20),52800.0,1주일전 (04/14),55600.0,2주일전 (04/07),25000.0,1개월전,25300.0,1년전,57750.0,일평년,45183.0,2020-04-21
17,감자,152,수미(20kg),01,중품,05,20kg,당일 (04/21),48800.0,1일전 (04/20),47600.0,1주일전 (04/14),50000.0,2주일전 (04/07),20600.0,1개월전,20900.0,1년전,51150.0,일평년,39783.0,2020-04-21
16,감자,152,수미(20kg),01,상품,04,20kg,당일 (04/22),54200.0,1일전 (04/21),54000.0,1주일전 (04/15),,2주일전 (04/08),23800.0,1개월전,25300.0,1년전,56480.0,일평년,44840.0,2020-04-22
