,품목명,품목코드,품종명,품종코드,"상태(상품, 중품)",상태코드,단위,일자(조회일자),조회일자 가격,1일전 일자(조회일자 기준),1일전 가격,1주일전 일자(조회일자 기준),1주일전 가격,2주일전 일자(조회일자 기준),2주일전 가격,1개월전 일자(조회일자 기준),1개월전 가격,1년전 일자(조회일자 기준),1년전 가격,평년일자,평년 가격,날짜
14,고구마,151,밤(10kg),00,상품,04,10kg,당일 (04/09),38200.0,1일전 (04/08),38200.0,1주일전 (04/02),35400.0,2주일전 (03/26),35000.0,1개월전,34500.0,1년전,35400.0,일평년,31440.0,2020-04-09
15,고구마,151,밤(10kg),00,중품,05,10kg,당일 (04/09),32800.0,1일전 (04/08),32800.0,1주일전 (04/02),30200.0,2주일전 (03/26),29800.0,1개월전,29750.0,1년전,30560.0,일평년,27147.0,2020-04-09
14,고구마,151,밤(10kg),00,상품,04,10kg,당일 (04/10),39400.0,1일전 (04/09),38200.0,1주일전 (04/03),36600.0,2주일전 (03/27),35000.0,1개월전,34550.0,1년전,35520.0,일평년,31533.0,2020-04-10
15,고구마,151,밤(10kg),00,중품,05,10kg,당일 (04/10),34000.0,1일전 (04/09),32800.0,1주일전 (04/03),31400.0,2주일전 (03/27),29800.0,1개월전,29800.0,1년전,30640.0,일평년,27200.0,2020-04-10
14,고구마,151,밤(10kg),00,상품,04,10kg,당일 (04/11),,1일전 (04/10),39400.0,1주일전 (04/04),,2주일전 (03/28),,1개월전,34550.0,1년전,35520.0,일평년,31533.0,2020-04-11
15,고구마,151,밤(10kg),00,중품,05,10kg,당일 (04/11),,1일전 (04/10),34000.0,1주일전 (04/04),,2주일전 (03/28),,1개월전,29800.0,1년전,30640.0,일평년,27200.0,2020-04-11
14,고구마,151,밤(10kg),00,상품,04,10kg,당일 (04/13),39800.0,1일전 (04/12),,1주일전 (04/06),36800.0,2주일전 (03/30),35400.0,1개월전,36200.0,1년전,35850.0,일평년,31570.0,2020-04-13
15,고구마,151,밤(10kg),00,중품,05,10kg,당일 (04/13),34400.0,1일전 (04/12),,1주일전 (04/06),31600.0,2주일전 (03/30),30200.0,1개월전,31000.0,1년전,30850.0,일평년,27170.0,2020-04-13
14,고구마,151,밤(10kg),00,상품,04,10kg,당일 (04/14),40000.0,1일전 (04/13),39800.0,1주일전 (04/07),37200.0,2주일전 (03/31),35400.0,1개월전,36450.0,1년전,35850.0,일평년,31510.0,2020-04-14
15,고구마,151,밤(10kg),00,중품,05,10kg,당일 (04/14),34600.0,1일전 (04/13),34400.0,1주일전 (04/07),31800.0,2주일전 (03/31),30200.0,1개월전,31250.0,1년전,30850.0,일평년,27110.0,2020-04-14
