,품목명,품목코드,품종명,품종코드,"상태(상품, 중품)",상태코드,단위,일자(조회일자),조회일자 가격,1일전 일자(조회일자 기준),1일전 가격,1주일전 일자(조회일자 기준),1주일전 가격,2주일전 일자(조회일자 기준),2주일전 가격,1개월전 일자(조회일자 기준),1개월전 가격,1년전 일자(조회일자 기준),1년전 가격,평년일자,평년 가격,날짜
13,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,당일 (04/09),2800.0,1일전 (04/08),2800.0,1주일전 (04/02),2800.0,2주일전 (03/26),2800.0,1개월전,2767.0,1년전,2920.0,일평년,2765.0,2020-04-09
13,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,당일 (04/10),2800.0,1일전 (04/09),2800.0,1주일전 (04/03),2800.0,2주일전 (03/27),2800.0,1개월전,2767.0,1년전,2920.0,일평년,2765.0,2020-04-10
13,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,당일 (04/11),,1일전 (04/10),2800.0,1주일전 (04/04),,2주일전 (03/28),,1개월전,2767.0,1년전,2920.0,일평년,2765.0,2020-04-11
13,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,당일 (04/13),2800.0,1일전 (04/12),,1주일전 (04/06),2800.0,2주일전 (03/30),2800.0,1개월전,2800.0,1년전,2920.0,일평년,2765.0,2020-04-13
13,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,당일 (04/14),2800.0,1일전 (04/13),2800.0,1주일전 (04/07),2800.0,2주일전 (03/31),2800.0,1개월전,2800.0,1년전,2920.0,일평년,2765.0,2020-04-14
13,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,당일 (04/15),,1일전 (04/14),2800.0,1주일전 (04/08),2800.0,2주일전 (04/01),2800.0,1개월전,2800.0,1년전,2920.0,일평년,2765.0,2020-04-15
13,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,당일 (04/16),2800.0,1일전 (04/15),,1주일전 (04/09),2800.0,2주일전 (04/02),2800.0,1개월전,2800.0,1년전,2920.0,일평년,2765.0,2020-04-16
13,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,당일 (04/17),2800.0,1일전 (04/16),2800.0,1주일전 (04/10),2800.0,2주일전 (04/03),2800.0,1개월전,2800.0,1년전,2920.0,일평년,2765.0,2020-04-17
13,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,당일 (04/18),,1일전 (04/17),2800.0,1주일전 (04/11),,2주일전 (04/04),,1개월전,2800.0,1년전,2920.0,일평년,2765.0,2020-04-18
13,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,당일 (04/20),2800.0,1일전 (04/19),,1주일전 (04/13),2800.0,2주일전 (04/06),2800.0,1개월전,2800.0,1년전,2920.0,일평년,2765.0,2020-04-20
13,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,당일 (04/21),2800.0,1일전 (04/20),2800.0,1주일전 (04/14),2800.0,2주일전 (04/07),2800.0,1개월전,2800.0,1년전,2920.0,일평년,2765.0,2020-04-21
13,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,당일 (04/22),2800.0,1일전 (04/21),2800.0,1주일전 (04/15),,2주일전 (04/08),2800.0,1개월전,2800.0,1년전,2920.0,일평년,2765.0,2020-04-22
13,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,당일 (04/23),2800.0,1일전 (04/22),2800.0,1주일전 (04/16),2800.0,2주일전 (04/09),2800.0,1개월전,2800.0,1년전,2920.0,일평년,2765.0,2020-04-23
13,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,당일 (04/24),2800.0,1일전 (04/23),2800.0,1주일전 (04/17),2800.0,2주일전 (04/10),2800.0,1개월전,2800.0,1년전,2920.0,일평년,2765.0,2020-04-24
13,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,당일 (04/25),,1일전 (04/24),2800.0,1주일전 (04/18),,2주일전 (04/11),,1개월전,2800.0,1년전,2920.0,일평년,2765.0,2020-04-25
13,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,당일 (04/27),2800.0,1일전 (04/26),,1주일전 (04/20),2800.0,2주일전 (04/13),2800.0,1개월전,2800.0,1년전,2920.0,일평년,2765.0,2020-04-27
13,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,당일 (04/28),2800.0,1일전 (04/27),2800.0,1주일전 (04/21),2800.0,2주일전 (04/14),2800.0,1개월전,2800.0,1년전,2920.0,일평년,2765.0,2020-04-28
13,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,당일 (04/29),2800.0,1일전 (04/28),2800.0,1주일전 (04/22),2800.0,2주일전 (04/15),,1개월전,2800.0,1년전,2920.0,일평년,2765.0,2020-04-29
13,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,당일 (04/30),,1일전 (04/29),2800.0,1주일전 (04/23),2800.0,2주일전 (04/16),2800.0,1개월전,2800.0,1년전,2920.0,일평년,2765.0,2020-04-30
13,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,당일 (05/01),,1일전 (04/30),,1주일전 (04/24),2800.0,2주일전 (04/17),2800.0,1개월전,2800.0,1년전,2920.0,일평년,2765.0,2020-05-01
13,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,당일 (05/04),2800.0,1일전 (05/03),,1주일전 (04/27),2800.0,2주일전 (04/20),2800.0,1개월전,2800.0,1년전,2920.0,일평년,2765.0,2020-05-04
13,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,당일 (05/05),,1일전 (05/04),2800.0,1주일전 (04/28),2800.0,2주일전 (04/21),2800.0,1개월전,2800.0,1년전,2920.0,일평년,2765.0,2020-05-05
13,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,당일 (05/06),2800.0,1일전 (05/05),,1주일전 (04/29),2800.0,2주일전 (04/22),2800.0,1개월전,2800.0,1년전,2920.0,일평년,2765.0,2020-05-06
13,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,당일 (05/07),2800.0,1일전 (05/06),2800.0,1주일전 (04/30),,2주일전 (04/23),2800.0,1개월전,2800.0,1년전,2920.0,일평년,2765.0,2020-05-07
13,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,당일 (05/08),2800.0,1일전 (05/07),2800.0,1주일전 (05/01),,2주일전 (04/24),2800.0,1개월전,2800.0,1년전,2920.0,일평년,2765.0,2020-05-08
13,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,당일 (05/09),,1일전 (05/08),2800.0,1주일전 (05/02),,2주일전 (04/25),,1개월전,2800.0,1년전,2920.0,일평년,2765.0,2020-05-09
13,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,당일 (05/11),2800.0,1일전 (05/10),,1주일전 (05/04),2800.0,2주일전 (04/27),2800.0,1개월전,2800.0,1년전,2920.0,일평년,2763.0,2020-05-11
13,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,당일 (05/12),2800.0,1일전 (05/11),2800.0,1주일전 (05/05),,2주일전 (04/28),2800.0,1개월전,2800.0,1년전,2920.0,일평년,2761.0,2020-05-12
13,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,당일 (05/13),2800.0,1일전 (05/12),2800.0,1주일전 (05/06),2800.0,2주일전 (04/29),2800.0,1개월전,2800.0,1년전,2920.0,일평년,2760.0,2020-05-13
13,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,당일 (05/14),2800.0,1일전 (05/13),2800.0,1주일전 (05/07),2800.0,2주일전 (04/30),,1개월전,2800.0,1년전,2920.0,일평년,2760.0,2020-05-14
13,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,당일 (05/15),2800.0,1일전 (05/14),2800.0,1주일전 (05/08),2800.0,2주일전 (05/01),,1개월전,2800.0,1년전,2920.0,일평년,2759.0,2020-05-15
13,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,당일 (05/16),,1일전 (05/15),2800.0,1주일전 (05/09),,2주일전 (05/02),,1개월전,2800.0,1년전,2920.0,일평년,2759.0,2020-05-16
13,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,당일 (05/18),2800.0,1일전 (05/17),,1주일전 (05/11),2800.0,2주일전 (05/04),2800.0,1개월전,2800.0,1년전,2920.0,일평년,2753.0,2020-05-18
13,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,당일 (05/19),2800.0,1일전 (05/18),2800.0,1주일전 (05/12),2800.0,2주일전 (05/05),,1개월전,2800.0,1년전,2920.0,일평년,2752.0,2020-05-19
13,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,당일 (05/20),2800.0,1일전 (05/19),2800.0,1주일전 (05/13),2800.0,2주일전 (05/06),2800.0,1개월전,2800.0,1년전,2920.0,일평년,2752.0,2020-05-20
13,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,당일 (05/21),2800.0,1일전 (05/20),2800.0,1주일전 (05/14),2800.0,2주일전 (05/07),2800.0,1개월전,2800.0,1년전,2920.0,일평년,2752.0,2020-05-21
13,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,당일 (05/22),2800.0,1일전 (05/21),2800.0,1주일전 (05/15),2800.0,2주일전 (05/08),2800.0,1개월전,2800.0,1년전,2920.0,일평년,2752.0,2020-05-22
13,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,당일 (05/23),,1일전 (05/22),2800.0,1주일전 (05/16),,2주일전 (05/09),,1개월전,2800.0,1년전,2920.0,일평년,2752.0,2020-05-23
13,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,당일 (05/25),2800.0,1일전 (05/24),,1주일전 (05/18),2800.0,2주일전 (05/11),2800.0,1개월전,2800.0,1년전,2920.0,일평년,2752.0,2020-05-25
13,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,당일 (05/26),2800.0,1일전 (05/25),2800.0,1주일전 (05/19),2800.0,2주일전 (05/12),2800.0,1개월전,2800.0,1년전,2920.0,일평년,2752.0,2020-05-26
13,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,당일 (05/27),2800.0,1일전 (05/26),2800.0,1주일전 (05/20),2800.0,2주일전 (05/13),2800.0,1개월전,2800.0,1년전,2920.0,일평년,2752.0,2020-05-27
13,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,당일 (05/28),2800.0,1일전 (05/27),2800.0,1주일전 (05/21),2800.0,2주일전 (05/14),2800.0,1개월전,2800.0,1년전,2928.0,일평년,2755.0,2020-05-28
13,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,당일 (05/29),2800.0,1일전 (05/28),2800.0,1주일전 (05/22),2800.0,2주일전 (05/15),2800.0,1개월전,2800.0,1년전,2936.0,일평년,2757.0,2020-05-29
13,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,당일 (05/30),,1일전 (05/29),2800.0,1주일전 (05/23),,2주일전 (05/16),,1개월전,2800.0,1년전,2936.0,일평년,2757.0,2020-05-30
13,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,당일 (06/01),2800.0,1일전 (05/31),,1주일전 (05/25),2800.0,2주일전 (05/18),2800.0,1개월전,2800.0,1년전,2945.0,일평년,2765.0,2020-06-01
13,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,당일 (06/02),2800.0,1일전 (06/01),2800.0,1주일전 (05/26),2800.0,2주일전 (05/19),2800.0,1개월전,2800.0,1년전,2945.0,일평년,2765.0,2020-06-02
13,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,당일 (06/03),2800.0,1일전 (06/02),2800.0,1주일전 (05/27),2800.0,2주일전 (05/20),2800.0,1개월전,2800.0,1년전,2936.0,일평년,2765.0,2020-06-03
13,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,당일 (06/04),2800.0,1일전 (06/03),2800.0,1주일전 (05/28),2800.0,2주일전 (05/21),2800.0,1개월전,2800.0,1년전,2924.0,일평년,2765.0,2020-06-04
13,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,당일 (06/05),2800.0,1일전 (06/04),2800.0,1주일전 (05/29),2800.0,2주일전 (05/22),2800.0,1개월전,2800.0,1년전,2912.0,일평년,2765.0,2020-06-05
13,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,당일 (06/06),,1일전 (06/05),2800.0,1주일전 (05/30),,2주일전 (05/23),,1개월전,2800.0,1년전,2912.0,일평년,2765.0,2020-06-06
13,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,당일 (06/08),2800.0,1일전 (06/07),,1주일전 (06/01),2800.0,2주일전 (05/25),2800.0,1개월전,2800.0,1년전,2900.0,일평년,2765.0,2020-06-08
13,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,당일 (06/09),2800.0,1일전 (06/08),2800.0,1주일전 (06/02),2800.0,2주일전 (05/26),2800.0,1개월전,2800.0,1년전,2900.0,일평년,2765.0,2020-06-09
13,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,당일 (06/10),2800.0,1일전 (06/09),2800.0,1주일전 (06/03),2800.0,2주일전 (05/27),2800.0,1개월전,2800.0,1년전,2900.0,일평년,2765.0,2020-06-10
13,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,당일 (06/11),2800.0,1일전 (06/10),2800.0,1주일전 (06/04),2800.0,2주일전 (05/28),2800.0,1개월전,2800.0,1년전,2900.0,일평년,2765.0,2020-06-11
13,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,당일 (06/12),2800.0,1일전 (06/11),2800.0,1주일전 (06/05),2800.0,2주일전 (05/29),2800.0,1개월전,2800.0,1년전,2900.0,일평년,2765.0,2020-06-12
13,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,당일 (06/13),,1일전 (06/12),2800.0,1주일전 (06/06),,2주일전 (05/30),,1개월전,2800.0,1년전,2900.0,일평년,2765.0,2020-06-13
13,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,당일 (06/15),2800.0,1일전 (06/14),,1주일전 (06/08),2800.0,2주일전 (06/01),2800.0,1개월전,2800.0,1년전,2900.0,일평년,2765.0,2020-06-15
13,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,당일 (06/16),2700.0,1일전 (06/15),2800.0,1주일전 (06/09),2800.0,2주일전 (06/02),2800.0,1개월전,2800.0,1년전,2900.0,일평년,2765.0,2020-06-16
13,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,당일 (06/17),2700.0,1일전 (06/16),2700.0,1주일전 (06/10),2800.0,2주일전 (06/03),2800.0,1개월전,2800.0,1년전,2900.0,일평년,2765.0,2020-06-17
13,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,당일 (06/18),2700.0,1일전 (06/17),2700.0,1주일전 (06/11),2800.0,2주일전 (06/04),2800.0,1개월전,2800.0,1년전,2900.0,일평년,2765.0,2020-06-18
13,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,당일 (06/19),2708.0,1일전 (06/18),2700.0,1주일전 (06/12),2800.0,2주일전 (06/05),2800.0,1개월전,2800.0,1년전,2900.0,일평년,2765.0,2020-06-19
13,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,당일 (06/20),,1일전 (06/19),2708.0,1주일전 (06/13),,2주일전 (06/06),,1개월전,2800.0,1년전,2900.0,일평년,2765.0,2020-06-20
13,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,당일 (06/22),2708.0,1일전 (06/21),,1주일전 (06/15),2800.0,2주일전 (06/08),2800.0,1개월전,2800.0,1년전,2900.0,일평년,2765.0,2020-06-22
13,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,당일 (06/23),2708.0,1일전 (06/22),2708.0,1주일전 (06/16),2700.0,2주일전 (06/09),2800.0,1개월전,2800.0,1년전,2900.0,일평년,2764.0,2020-06-23
13,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,당일 (06/24),2708.0,1일전 (06/23),2708.0,1주일전 (06/17),2700.0,2주일전 (06/10),2800.0,1개월전,2800.0,1년전,2900.0,일평년,2763.0,2020-06-24
13,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,당일 (06/25),2758.0,1일전 (06/24),2708.0,1주일전 (06/18),2700.0,2주일전 (06/11),2800.0,1개월전,2800.0,1년전,2900.0,일평년,2762.0,2020-06-25
13,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,당일 (06/26),2758.0,1일전 (06/25),2758.0,1주일전 (06/19),2708.0,2주일전 (06/12),2800.0,1개월전,2800.0,1년전,2900.0,일평년,2762.0,2020-06-26
13,메밀,144,메밀(수입)(1kg),01,중품,05,1kg,당일 (06/27),,1일전 (06/26),2758.0,1주일전 (06/20),,2주일전 (06/13),,1개월전,2800.0,1년전,2900.0,일평년,2762.0,2020-06-27
