,품목명,품목코드,품종명,품종코드,"상태(상품, 중품)",상태코드,단위,일자(조회일자),조회일자 가격,1일전 일자(조회일자 기준),1일전 가격,1주일전 일자(조회일자 기준),1주일전 가격,2주일전 일자(조회일자 기준),2주일전 가격,1개월전 일자(조회일자 기준),1개월전 가격,1년전 일자(조회일자 기준),1년전 가격,평년일자,평년 가격,날짜
6,상추,214,적(4kg),01,상품,04,4kg,당일 (04/09),10200.0,1일전 (04/08),11000.0,1주일전 (04/02),9700.0,2주일전 (03/26),11000.0,1개월전,13350.0,1년전,13480.0,일평년,12317.0,2020-04-09
7,상추,214,적(4kg),01,중품,05,4kg,당일 (04/09),6800.0,1일전 (04/08),7600.0,1주일전 (04/02),6600.0,2주일전 (03/26),7200.0,1개월전,9050.0,1년전,9720.0,일평년,9093.0,2020-04-09
8,상추,214,청(4kg),02,상품,04,4kg,당일 (04/09),9800.0,1일전 (04/08),10200.0,1주일전 (04/02),9300.0,2주일전 (03/26),10800.0,1개월전,13300.0,1년전,13600.0,일평년,11083.0,2020-04-09
9,상추,214,청(4kg),02,중품,05,4kg,당일 (04/09),7000.0,1일전 (04/08),7400.0,1주일전 (04/02),6600.0,2주일전 (03/26),8000.0,1개월전,9550.0,1년전,9960.0,일평년,8233.0,2020-04-09
6,상추,214,적(4kg),01,상품,04,4kg,당일 (04/10),10200.0,1일전 (04/09),10200.0,1주일전 (04/03),9400.0,2주일전 (03/27),10700.0,1개월전,13650.0,1년전,13560.0,일평년,12643.0,2020-04-10
7,상추,214,적(4kg),01,중품,05,4kg,당일 (04/10),6800.0,1일전 (04/09),6800.0,1주일전 (04/03),6200.0,2주일전 (03/27),6900.0,1개월전,9300.0,1년전,9760.0,일평년,9290.0,2020-04-10
8,상추,214,청(4kg),02,상품,04,4kg,당일 (04/10),9800.0,1일전 (04/09),9800.0,1주일전 (04/03),9000.0,2주일전 (03/27),10300.0,1개월전,13450.0,1년전,13680.0,일평년,11540.0,2020-04-10
9,상추,214,청(4kg),02,중품,05,4kg,당일 (04/10),7000.0,1일전 (04/09),7000.0,1주일전 (04/03),6200.0,2주일전 (03/27),7500.0,1개월전,9700.0,1년전,10040.0,일평년,8557.0,2020-04-10
6,상추,214,적(4kg),01,상품,04,4kg,당일 (04/11),,1일전 (04/10),10200.0,1주일전 (04/04),,2주일전 (03/28),,1개월전,13650.0,1년전,13560.0,일평년,12643.0,2020-04-11
7,상추,214,적(4kg),01,중품,05,4kg,당일 (04/11),,1일전 (04/10),6800.0,1주일전 (04/04),,2주일전 (03/28),,1개월전,9300.0,1년전,9760.0,일평년,9290.0,2020-04-11
8,상추,214,청(4kg),02,상품,04,4kg,당일 (04/11),,1일전 (04/10),9800.0,1주일전 (04/04),,2주일전 (03/28),,1개월전,13450.0,1년전,13680.0,일평년,11540.0,2020-04-11
9,상추,214,청(4kg),02,중품,05,4kg,당일 (04/11),,1일전 (04/10),7000.0,1주일전 (04/04),,2주일전 (03/28),,1개월전,9700.0,1년전,10040.0,일평년,8557.0,2020-04-11
6,상추,214,적(4kg),01,상품,04,4kg,당일 (04/13),11300.0,1일전 (04/12),,1주일전 (04/06),10500.0,2주일전 (03/30),10000.0,1개월전,12840.0,1년전,13000.0,일평년,13267.0,2020-04-13
7,상추,214,적(4kg),01,중품,05,4kg,당일 (04/13),7800.0,1일전 (04/12),,1주일전 (04/06),7200.0,2주일전 (03/30),6800.0,1개월전,8640.0,1년전,9200.0,일평년,9987.0,2020-04-13
8,상추,214,청(4kg),02,상품,04,4kg,당일 (04/13),11000.0,1일전 (04/12),,1주일전 (04/06),10400.0,2주일전 (03/30),10200.0,1개월전,12960.0,1년전,13100.0,일평년,12203.0,2020-04-13
9,상추,214,청(4kg),02,중품,05,4kg,당일 (04/13),8200.0,1일전 (04/12),,1주일전 (04/06),7600.0,2주일전 (03/30),7400.0,1개월전,9480.0,1년전,9500.0,일평년,9120.0,2020-04-13
6,상추,214,적(4kg),01,상품,04,4kg,당일 (04/14),11300.0,1일전 (04/13),11300.0,1주일전 (04/07),11400.0,2주일전 (03/31),9800.0,1개월전,12200.0,1년전,13000.0,일평년,13430.0,2020-04-14
7,상추,214,적(4kg),01,중품,05,4kg,당일 (04/14),7800.0,1일전 (04/13),7800.0,1주일전 (04/07),8000.0,2주일전 (03/31),6600.0,1개월전,8050.0,1년전,9200.0,일평년,10220.0,2020-04-14
8,상추,214,청(4kg),02,상품,04,4kg,당일 (04/14),10800.0,1일전 (04/13),11000.0,1주일전 (04/07),10600.0,2주일전 (03/31),9800.0,1개월전,12400.0,1년전,13100.0,일평년,12387.0,2020-04-14
9,상추,214,청(4kg),02,중품,05,4kg,당일 (04/14),8000.0,1일전 (04/13),8200.0,1주일전 (04/07),7800.0,2주일전 (03/31),7000.0,1개월전,8950.0,1년전,9500.0,일평년,9300.0,2020-04-14
6,상추,214,적(4kg),01,상품,04,4kg,당일 (04/15),,1일전 (04/14),11300.0,1주일전 (04/08),11000.0,2주일전 (04/01),9800.0,1개월전,12200.0,1년전,13000.0,일평년,13430.0,2020-04-15
7,상추,214,적(4kg),01,중품,05,4kg,당일 (04/15),,1일전 (04/14),7800.0,1주일전 (04/08),7600.0,2주일전 (04/01),6600.0,1개월전,8050.0,1년전,9200.0,일평년,10220.0,2020-04-15
8,상추,214,청(4kg),02,상품,04,4kg,당일 (04/15),,1일전 (04/14),10800.0,1주일전 (04/08),10200.0,2주일전 (04/01),9500.0,1개월전,12400.0,1년전,13100.0,일평년,12387.0,2020-04-15
9,상추,214,청(4kg),02,중품,05,4kg,당일 (04/15),,1일전 (04/14),8000.0,1주일전 (04/08),7400.0,2주일전 (04/01),6800.0,1개월전,8950.0,1년전,9500.0,일평년,9300.0,2020-04-15
6,상추,214,적(4kg),01,상품,04,4kg,당일 (04/16),10300.0,1일전 (04/15),,1주일전 (04/09),10200.0,2주일전 (04/02),9700.0,1개월전,11960.0,1년전,12600.0,일평년,13477.0,2020-04-16
7,상추,214,적(4kg),01,중품,05,4kg,당일 (04/16),7000.0,1일전 (04/15),,1주일전 (04/09),6800.0,2주일전 (04/02),6600.0,1개월전,7840.0,1년전,8880.0,일평년,10343.0,2020-04-16
8,상추,214,청(4kg),02,상품,04,4kg,당일 (04/16),10200.0,1일전 (04/15),,1주일전 (04/09),9800.0,2주일전 (04/02),9300.0,1개월전,12280.0,1년전,12720.0,일평년,12430.0,2020-04-16
9,상추,214,청(4kg),02,중품,05,4kg,당일 (04/16),7400.0,1일전 (04/15),,1주일전 (04/09),7000.0,2주일전 (04/02),6600.0,1개월전,8920.0,1년전,9120.0,일평년,9363.0,2020-04-16
6,상추,214,적(4kg),01,상품,04,4kg,당일 (04/17),10800.0,1일전 (04/16),10300.0,1주일전 (04/10),10200.0,2주일전 (04/03),9400.0,1개월전,11600.0,1년전,12480.0,일평년,13480.0,2020-04-17
