,품목명,품목코드,품종명,품종코드,"상태(상품, 중품)",상태코드,단위,일자(조회일자),조회일자 가격,1일전 일자(조회일자 기준),1일전 가격,1주일전 일자(조회일자 기준),1주일전 가격,2주일전 일자(조회일자 기준),2주일전 가격,1개월전 일자(조회일자 기준),1개월전 가격,1년전 일자(조회일자 기준),1년전 가격,평년일자,평년 가격,날짜
12,수박,221,수박(1개),00,상품,04,1개,당일 (04/09),18400.0,1일전 (04/08),18200.0,1주일전 (04/02),18200.0,2주일전 (03/26),17600.0,1개월전,19400.0,1년전,17280.0,일평년,16987.0,2020-04-09
13,수박,221,수박(1개),00,중품,05,1개,당일 (04/09),15400.0,1일전 (04/08),15200.0,1주일전 (04/02),15200.0,2주일전 (03/26),14600.0,1개월전,16750.0,1년전,14080.0,일평년,14020.0,2020-04-09
12,수박,221,수박(1개),00,상품,04,1개,당일 (04/10),18200.0,1일전 (04/09),18400.0,1주일전 (04/03),18400.0,2주일전 (03/27),17600.0,1개월전,19550.0,1년전,17240.0,일평년,16980.0,2020-04-10
13,수박,221,수박(1개),00,중품,05,1개,당일 (04/10),15200.0,1일전 (04/09),15400.0,1주일전 (04/03),15400.0,2주일전 (03/27),14600.0,1개월전,16900.0,1년전,14040.0,일평년,14013.0,2020-04-10
12,수박,221,수박(1개),00,상품,04,1개,당일 (04/11),,1일전 (04/10),18200.0,1주일전 (04/04),,2주일전 (03/28),,1개월전,19550.0,1년전,17240.0,일평년,16980.0,2020-04-11
13,수박,221,수박(1개),00,중품,05,1개,당일 (04/11),,1일전 (04/10),15200.0,1주일전 (04/04),,2주일전 (03/28),,1개월전,16900.0,1년전,14040.0,일평년,14013.0,2020-04-11
12,수박,221,수박(1개),00,상품,04,1개,당일 (04/13),17800.0,1일전 (04/12),,1주일전 (04/06),18200.0,2주일전 (03/30),18000.0,1개월전,19200.0,1년전,16900.0,일평년,16743.0,2020-04-13
13,수박,221,수박(1개),00,중품,05,1개,당일 (04/13),14800.0,1일전 (04/12),,1주일전 (04/06),15200.0,2주일전 (03/30),15000.0,1개월전,16120.0,1년전,13700.0,일평년,13810.0,2020-04-13
12,수박,221,수박(1개),00,상품,04,1개,당일 (04/14),16600.0,1일전 (04/13),17800.0,1주일전 (04/07),18200.0,2주일전 (03/31),18400.0,1개월전,19000.0,1년전,16900.0,일평년,16740.0,2020-04-14
13,수박,221,수박(1개),00,중품,05,1개,당일 (04/14),13800.0,1일전 (04/13),14800.0,1주일전 (04/07),15200.0,2주일전 (03/31),15400.0,1개월전,15950.0,1년전,13700.0,일평년,13793.0,2020-04-14
12,수박,221,수박(1개),00,상품,04,1개,당일 (04/15),,1일전 (04/14),16600.0,1주일전 (04/08),18200.0,2주일전 (04/01),18200.0,1개월전,19000.0,1년전,16900.0,일평년,16740.0,2020-04-15
13,수박,221,수박(1개),00,중품,05,1개,당일 (04/15),,1일전 (04/14),13800.0,1주일전 (04/08),15200.0,2주일전 (04/01),15200.0,1개월전,15950.0,1년전,13700.0,일평년,13793.0,2020-04-15
12,수박,221,수박(1개),00,상품,04,1개,당일 (04/16),16600.0,1일전 (04/15),,1주일전 (04/09),18400.0,2주일전 (04/02),18200.0,1개월전,18920.0,1년전,16680.0,일평년,16607.0,2020-04-16
13,수박,221,수박(1개),00,중품,05,1개,당일 (04/16),13800.0,1일전 (04/15),,1주일전 (04/09),15400.0,2주일전 (04/02),15200.0,1개월전,15880.0,1년전,13480.0,일평년,13623.0,2020-04-16
12,수박,221,수박(1개),00,상품,04,1개,당일 (04/17),16800.0,1일전 (04/16),16600.0,1주일전 (04/10),18200.0,2주일전 (04/03),18400.0,1개월전,18800.0,1년전,16640.0,일평년,16573.0,2020-04-17
13,수박,221,수박(1개),00,중품,05,1개,당일 (04/17),14000.0,1일전 (04/16),13800.0,1주일전 (04/10),15200.0,2주일전 (04/03),15400.0,1개월전,15760.0,1년전,13440.0,일평년,13577.0,2020-04-17
12,수박,221,수박(1개),00,상품,04,1개,당일 (04/18),,1일전 (04/17),16800.0,1주일전 (04/11),,2주일전 (04/04),,1개월전,18800.0,1년전,16640.0,일평년,16573.0,2020-04-18
13,수박,221,수박(1개),00,중품,05,1개,당일 (04/18),,1일전 (04/17),14000.0,1주일전 (04/11),,2주일전 (04/04),,1개월전,15760.0,1년전,13440.0,일평년,13577.0,2020-04-18
12,수박,221,수박(1개),00,상품,04,1개,당일 (04/20),16400.0,1일전 (04/19),,1주일전 (04/13),17800.0,2주일전 (04/06),18200.0,1개월전,18760.0,1년전,17050.0,일평년,16470.0,2020-04-20
13,수박,221,수박(1개),00,중품,05,1개,당일 (04/20),13600.0,1일전 (04/19),,1주일전 (04/13),14800.0,2주일전 (04/06),15200.0,1개월전,15760.0,1년전,13850.0,일평년,13477.0,2020-04-20
12,수박,221,수박(1개),00,상품,04,1개,당일 (04/21),16400.0,1일전 (04/20),16400.0,1주일전 (04/14),16600.0,2주일전 (04/07),18200.0,1개월전,18800.0,1년전,17050.0,일평년,16447.0,2020-04-21
13,수박,221,수박(1개),00,중품,05,1개,당일 (04/21),13600.0,1일전 (04/20),13600.0,1주일전 (04/14),13800.0,2주일전 (04/07),15200.0,1개월전,15800.0,1년전,13850.0,일평년,13453.0,2020-04-21
12,수박,221,수박(1개),00,상품,04,1개,당일 (04/22),16400.0,1일전 (04/21),16400.0,1주일전 (04/15),,2주일전 (04/08),18200.0,1개월전,18800.0,1년전,17160.0,일평년,16433.0,2020-04-22
13,수박,221,수박(1개),00,중품,05,1개,당일 (04/22),13600.0,1일전 (04/21),13600.0,1주일전 (04/15),,2주일전 (04/08),15200.0,1개월전,15800.0,1년전,13960.0,일평년,13443.0,2020-04-22
12,수박,221,수박(1개),00,상품,04,1개,당일 (04/23),16200.0,1일전 (04/22),16400.0,1주일전 (04/16),16600.0,2주일전 (04/09),18400.0,1개월전,18800.0,1년전,17400.0,일평년,16443.0,2020-04-23
13,수박,221,수박(1개),00,중품,05,1개,당일 (04/23),13400.0,1일전 (04/22),13600.0,1주일전 (04/16),13800.0,2주일전 (04/09),15400.0,1개월전,15800.0,1년전,14200.0,일평년,13457.0,2020-04-23
12,수박,221,수박(1개),00,상품,04,1개,당일 (04/24),15400.0,1일전 (04/23),16200.0,1주일전 (04/17),16800.0,2주일전 (04/10),18200.0,1개월전,18560.0,1년전,17520.0,일평년,16400.0,2020-04-24
13,수박,221,수박(1개),00,중품,05,1개,당일 (04/24),12600.0,1일전 (04/23),13400.0,1주일전 (04/17),14000.0,2주일전 (04/10),15200.0,1개월전,15560.0,1년전,14320.0,일평년,13391.0,2020-04-24
12,수박,221,수박(1개),00,상품,04,1개,당일 (04/25),,1일전 (04/24),15400.0,1주일전 (04/18),,2주일전 (04/11),,1개월전,18560.0,1년전,17520.0,일평년,16400.0,2020-04-25
