,품목명,품목코드,품종명,품종코드,"상태(상품, 중품)",상태코드,단위,일자(조회일자),조회일자 가격,1일전 일자(조회일자 기준),1일전 가격,1주일전 일자(조회일자 기준),1주일전 가격,2주일전 일자(조회일자 기준),2주일전 가격,1개월전 일자(조회일자 기준),1개월전 가격,1년전 일자(조회일자 기준),1년전 가격,평년일자,평년 가격,날짜
4,시금치,213,시금치(4kg),00,상품,04,4kg,당일 (04/09),10400.0,1일전 (04/08),10200.0,1주일전 (04/02),9600.0,2주일전 (03/26),10600.0,1개월전,9350.0,1년전,9600.0,일평년,9993.0,2020-04-09
5,시금치,213,시금치(4kg),00,중품,05,4kg,당일 (04/09),8000.0,1일전 (04/08),7800.0,1주일전 (04/02),7200.0,2주일전 (03/26),8200.0,1개월전,6800.0,1년전,7160.0,일평년,7650.0,2020-04-09
4,시금치,213,시금치(4kg),00,상품,04,4kg,당일 (04/10),10800.0,1일전 (04/09),10400.0,1주일전 (04/03),9400.0,2주일전 (03/27),10600.0,1개월전,10300.0,1년전,10160.0,일평년,10050.0,2020-04-10
5,시금치,213,시금치(4kg),00,중품,05,4kg,당일 (04/10),8400.0,1일전 (04/09),8000.0,1주일전 (04/03),7000.0,2주일전 (03/27),8200.0,1개월전,7700.0,1년전,7680.0,일평년,7677.0,2020-04-10
4,시금치,213,시금치(4kg),00,상품,04,4kg,당일 (04/11),,1일전 (04/10),10800.0,1주일전 (04/04),,2주일전 (03/28),,1개월전,10300.0,1년전,10160.0,일평년,10050.0,2020-04-11
5,시금치,213,시금치(4kg),00,중품,05,4kg,당일 (04/11),,1일전 (04/10),8400.0,1주일전 (04/04),,2주일전 (03/28),,1개월전,7700.0,1년전,7680.0,일평년,7677.0,2020-04-11
4,시금치,213,시금치(4kg),00,상품,04,4kg,당일 (04/13),11800.0,1일전 (04/12),,1주일전 (04/06),10000.0,2주일전 (03/30),10000.0,1개월전,11600.0,1년전,10200.0,일평년,9940.0,2020-04-13
5,시금치,213,시금치(4kg),00,중품,05,4kg,당일 (04/13),9400.0,1일전 (04/12),,1주일전 (04/06),7600.0,2주일전 (03/30),7600.0,1개월전,8880.0,1년전,7600.0,일평년,7573.0,2020-04-13
4,시금치,213,시금치(4kg),00,상품,04,4kg,당일 (04/14),11800.0,1일전 (04/13),11800.0,1주일전 (04/07),10200.0,2주일전 (03/31),9800.0,1개월전,11650.0,1년전,10200.0,일평년,10053.0,2020-04-14
5,시금치,213,시금치(4kg),00,중품,05,4kg,당일 (04/14),9400.0,1일전 (04/13),9400.0,1주일전 (04/07),7800.0,2주일전 (03/31),7400.0,1개월전,8950.0,1년전,7600.0,일평년,7720.0,2020-04-14
4,시금치,213,시금치(4kg),00,상품,04,4kg,당일 (04/15),,1일전 (04/14),11800.0,1주일전 (04/08),10200.0,2주일전 (04/01),9800.0,1개월전,11650.0,1년전,10200.0,일평년,10053.0,2020-04-15
5,시금치,213,시금치(4kg),00,중품,05,4kg,당일 (04/15),,1일전 (04/14),9400.0,1주일전 (04/08),7800.0,2주일전 (04/01),7400.0,1개월전,8950.0,1년전,7600.0,일평년,7720.0,2020-04-15
4,시금치,213,시금치(4kg),00,상품,04,4kg,당일 (04/16),10800.0,1일전 (04/15),,1주일전 (04/09),10400.0,2주일전 (04/02),9600.0,1개월전,11320.0,1년전,10040.0,일평년,10323.0,2020-04-16
5,시금치,213,시금치(4kg),00,중품,05,4kg,당일 (04/16),8400.0,1일전 (04/15),,1주일전 (04/09),8000.0,2주일전 (04/02),7200.0,1개월전,8680.0,1년전,7400.0,일평년,7990.0,2020-04-16
4,시금치,213,시금치(4kg),00,상품,04,4kg,당일 (04/17),11200.0,1일전 (04/16),10800.0,1주일전 (04/10),10800.0,2주일전 (04/03),9400.0,1개월전,10800.0,1년전,9680.0,일평년,10357.0,2020-04-17
