,품목명,품목코드,품종명,품종코드,"상태(상품, 중품)",상태코드,단위,일자(조회일자),조회일자 가격,1일전 일자(조회일자 기준),1일전 가격,1주일전 일자(조회일자 기준),1주일전 가격,2주일전 일자(조회일자 기준),2주일전 가격,1개월전 일자(조회일자 기준),1개월전 가격,1년전 일자(조회일자 기준),1년전 가격,평년일자,평년 가격,날짜
0,쌀,111,일반계(20kg),01,상품,04,20kg,당일 (04/09),47100.0,1일전 (04/08),47100.0,1주일전 (04/02),47100.0,2주일전 (03/26),47100.0,1개월전,47125.0,1년전,49380.0,일평년,40571.0,2020-04-09
1,쌀,111,일반계(20kg),01,중품,05,20kg,당일 (04/09),45560.0,1일전 (04/08),45560.0,1주일전 (04/02),45560.0,2주일전 (03/26),45560.0,1개월전,45500.0,1년전,47780.0,일평년,39281.0,2020-04-09
0,쌀,111,일반계(20kg),01,상품,04,20kg,당일 (04/10),47100.0,1일전 (04/09),47100.0,1주일전 (04/03),47100.0,2주일전 (03/27),47100.0,1개월전,47125.0,1년전,49380.0,일평년,40572.0,2020-04-10
1,쌀,111,일반계(20kg),01,중품,05,20kg,당일 (04/10),45560.0,1일전 (04/09),45560.0,1주일전 (04/03),45560.0,2주일전 (03/27),45560.0,1개월전,45500.0,1년전,47780.0,일평년,39284.0,2020-04-10
0,쌀,111,일반계(20kg),01,상품,04,20kg,당일 (04/11),,1일전 (04/10),47100.0,1주일전 (04/04),,2주일전 (03/28),,1개월전,47125.0,1년전,49380.0,일평년,40572.0,2020-04-11
1,쌀,111,일반계(20kg),01,중품,05,20kg,당일 (04/11),,1일전 (04/10),45560.0,1주일전 (04/04),,2주일전 (03/28),,1개월전,45500.0,1년전,47780.0,일평년,39284.0,2020-04-11
0,쌀,111,일반계(20kg),01,상품,04,20kg,당일 (04/13),47100.0,1일전 (04/12),,1주일전 (04/06),47100.0,2주일전 (03/30),47100.0,1개월전,47100.0,1년전,49295.0,일평년,40573.0,2020-04-13
1,쌀,111,일반계(20kg),01,중품,05,20kg,당일 (04/13),45560.0,1일전 (04/12),,1주일전 (04/06),45560.0,2주일전 (03/30),45560.0,1개월전,45592.0,1년전,47705.0,일평년,39287.0,2020-04-13
0,쌀,111,일반계(20kg),01,상품,04,20kg,당일 (04/14),46900.0,1일전 (04/13),47100.0,1주일전 (04/07),47100.0,2주일전 (03/31),47100.0,1개월전,47100.0,1년전,49295.0,일평년,40573.0,2020-04-14
1,쌀,111,일반계(20kg),01,중품,05,20kg,당일 (04/14),45360.0,1일전 (04/13),45560.0,1주일전 (04/07),45560.0,2주일전 (03/31),45560.0,1개월전,45590.0,1년전,47705.0,일평년,39287.0,2020-04-14
