,품목명,품목코드,품종명,품종코드,"상태(상품, 중품)",상태코드,단위,일자(조회일자),조회일자 가격,1일전 일자(조회일자 기준),1일전 가격,1주일전 일자(조회일자 기준),1주일전 가격,2주일전 일자(조회일자 기준),2주일전 가격,1개월전 일자(조회일자 기준),1개월전 가격,1년전 일자(조회일자 기준),1년전 가격,평년일자,평년 가격,날짜
2,양배추,212,양배추(8kg),00,상품,04,8kg,당일 (04/09),13500.0,1일전 (04/08),13700.0,1주일전 (04/02),12800.0,2주일전 (03/26),10900.0,1개월전,10600.0,1년전,4040.0,일평년,6143.0,2020-04-09
3,양배추,212,양배추(8kg),00,중품,05,8kg,당일 (04/09),11200.0,1일전 (04/08),11400.0,1주일전 (04/02),10500.0,2주일전 (03/26),8800.0,1개월전,8350.0,1년전,2960.0,일평년,4760.0,2020-04-09
2,양배추,212,양배추(8kg),00,상품,04,8kg,당일 (04/10),13500.0,1일전 (04/09),13500.0,1주일전 (04/03),12400.0,2주일전 (03/27),10900.0,1개월전,10400.0,1년전,4060.0,일평년,6020.0,2020-04-10
3,양배추,212,양배추(8kg),00,중품,05,8kg,당일 (04/10),11200.0,1일전 (04/09),11200.0,1주일전 (04/03),10000.0,2주일전 (03/27),8800.0,1개월전,8150.0,1년전,3000.0,일평년,4653.0,2020-04-10
2,양배추,212,양배추(8kg),00,상품,04,8kg,당일 (04/11),,1일전 (04/10),13500.0,1주일전 (04/04),,2주일전 (03/28),,1개월전,10400.0,1년전,4060.0,일평년,6020.0,2020-04-11
3,양배추,212,양배추(8kg),00,중품,05,8kg,당일 (04/11),,1일전 (04/10),11200.0,1주일전 (04/04),,2주일전 (03/28),,1개월전,8150.0,1년전,3000.0,일평년,4653.0,2020-04-11
2,양배추,212,양배추(8kg),00,상품,04,8kg,당일 (04/13),14700.0,1일전 (04/12),,1주일전 (04/06),13200.0,2주일전 (03/30),12800.0,1개월전,10520.0,1년전,4050.0,일평년,5727.0,2020-04-13
3,양배추,212,양배추(8kg),00,중품,05,8kg,당일 (04/13),12500.0,1일전 (04/12),,1주일전 (04/06),10800.0,2주일전 (03/30),10600.0,1개월전,8320.0,1년전,3050.0,일평년,4463.0,2020-04-13
2,양배추,212,양배추(8kg),00,상품,04,8kg,당일 (04/14),16900.0,1일전 (04/13),14700.0,1주일전 (04/07),13600.0,2주일전 (03/31),13000.0,1개월전,10600.0,1년전,4050.0,일평년,5608.0,2020-04-14
3,양배추,212,양배추(8kg),00,중품,05,8kg,당일 (04/14),14500.0,1일전 (04/13),12500.0,1주일전 (04/07),11200.0,2주일전 (03/31),10800.0,1개월전,8400.0,1년전,3050.0,일평년,4382.0,2020-04-14
2,양배추,212,양배추(8kg),00,상품,04,8kg,당일 (04/15),,1일전 (04/14),16900.0,1주일전 (04/08),13700.0,2주일전 (04/01),13000.0,1개월전,10600.0,1년전,4050.0,일평년,5608.0,2020-04-15
3,양배추,212,양배추(8kg),00,중품,05,8kg,당일 (04/15),,1일전 (04/14),14500.0,1주일전 (04/08),11400.0,2주일전 (04/01),10700.0,1개월전,8400.0,1년전,3050.0,일평년,4382.0,2020-04-15
2,양배추,212,양배추(8kg),00,상품,04,8kg,당일 (04/16),17400.0,1일전 (04/15),,1주일전 (04/09),13500.0,2주일전 (04/02),12800.0,1개월전,10640.0,1년전,4000.0,일평년,5542.0,2020-04-16
3,양배추,212,양배추(8kg),00,중품,05,8kg,당일 (04/16),15100.0,1일전 (04/15),,1주일전 (04/09),11200.0,2주일전 (04/02),10500.0,1개월전,8440.0,1년전,3000.0,일평년,4313.0,2020-04-16
2,양배추,212,양배추(8kg),00,상품,04,8kg,당일 (04/17),16100.0,1일전 (04/16),17400.0,1주일전 (04/10),13500.0,2주일전 (04/03),12400.0,1개월전,10760.0,1년전,3960.0,일평년,5520.0,2020-04-17
3,양배추,212,양배추(8kg),00,중품,05,8kg,당일 (04/17),13600.0,1일전 (04/16),15100.0,1주일전 (04/10),11200.0,2주일전 (04/03),10000.0,1개월전,8580.0,1년전,2960.0,일평년,4287.0,2020-04-17
2,양배추,212,양배추(8kg),00,상품,04,8kg,당일 (04/18),,1일전 (04/17),16100.0,1주일전 (04/11),,2주일전 (04/04),,1개월전,10760.0,1년전,3960.0,일평년,5520.0,2020-04-18
3,양배추,212,양배추(8kg),00,중품,05,8kg,당일 (04/18),,1일전 (04/17),13600.0,1주일전 (04/11),,2주일전 (04/04),,1개월전,8580.0,1년전,2960.0,일평년,4287.0,2020-04-18
