,품목명,품목코드,품종명,품종코드,"상태(상품, 중품)",상태코드,단위,일자(조회일자),조회일자 가격,1일전 일자(조회일자 기준),1일전 가격,1주일전 일자(조회일자 기준),1주일전 가격,2주일전 일자(조회일자 기준),2주일전 가격,1개월전 일자(조회일자 기준),1개월전 가격,1년전 일자(조회일자 기준),1년전 가격,평년일자,평년 가격,날짜
14,참외,222,참외(10kg),00,상품,04,10kg,당일 (04/09),55000.0,1일전 (04/08),56000.0,1주일전 (04/02),67000.0,2주일전 (03/26),90000.0,1개월전,,1년전,66600.0,일평년,65033.0,2020-04-09
15,참외,222,참외(10kg),00,중품,05,10kg,당일 (04/09),47800.0,1일전 (04/08),49200.0,1주일전 (04/02),59400.0,2주일전 (03/26),84000.0,1개월전,,1년전,58440.0,일평년,57660.0,2020-04-09
14,참외,222,참외(10kg),00,상품,04,10kg,당일 (04/10),55000.0,1일전 (04/09),55000.0,1주일전 (04/03),66000.0,2주일전 (03/27),91000.0,1개월전,,1년전,65640.0,일평년,65207.0,2020-04-10
15,참외,222,참외(10kg),00,중품,05,10kg,당일 (04/10),47800.0,1일전 (04/09),47800.0,1주일전 (04/03),58800.0,2주일전 (03/27),84400.0,1개월전,,1년전,57640.0,일평년,57860.0,2020-04-10
14,참외,222,참외(10kg),00,상품,04,10kg,당일 (04/11),,1일전 (04/10),55000.0,1주일전 (04/04),,2주일전 (03/28),,1개월전,,1년전,65640.0,일평년,65207.0,2020-04-11
15,참외,222,참외(10kg),00,중품,05,10kg,당일 (04/11),,1일전 (04/10),47800.0,1주일전 (04/04),,2주일전 (03/28),,1개월전,,1년전,57640.0,일평년,57860.0,2020-04-11
14,참외,222,참외(10kg),00,상품,04,10kg,당일 (04/13),52400.0,1일전 (04/12),,1주일전 (04/06),63000.0,2주일전 (03/30),80000.0,1개월전,62480.0,1년전,64000.0,일평년,65170.0,2020-04-13
15,참외,222,참외(10kg),00,중품,05,10kg,당일 (04/13),45200.0,1일전 (04/12),,1주일전 (04/06),55400.0,2주일전 (03/30),73400.0,1개월전,57080.0,1년전,56500.0,일평년,58097.0,2020-04-13
14,참외,222,참외(10kg),00,상품,04,10kg,당일 (04/14),52000.0,1일전 (04/13),52400.0,1주일전 (04/07),60400.0,2주일전 (03/31),74600.0,1개월전,62650.0,1년전,64000.0,일평년,65413.0,2020-04-14
15,참외,222,참외(10kg),00,중품,05,10kg,당일 (04/14),45200.0,1일전 (04/13),45200.0,1주일전 (04/07),52800.0,2주일전 (03/31),67000.0,1개월전,57250.0,1년전,56500.0,일평년,58247.0,2020-04-14
