,품목명,품목코드,품종명,품종코드,"상태(상품, 중품)",상태코드,단위,일자(조회일자),조회일자 가격,1일전 일자(조회일자 기준),1일전 가격,1주일전 일자(조회일자 기준),1주일전 가격,2주일전 일자(조회일자 기준),2주일전 가격,1개월전 일자(조회일자 기준),1개월전 가격,1년전 일자(조회일자 기준),1년전 가격,평년일자,평년 가격,날짜
4,콩,141,흰 콩(국산)(40kg),01,상품,04,40kg,당일 (04/09),205257.0,1일전 (04/08),205257.0,1주일전 (04/02),204114.0,2주일전 (03/26),204114.0,1개월전,205143.0,1년전,216914.0,일평년,189333.0,2020-04-09
5,콩,141,흰 콩(국산)(40kg),01,중품,05,40kg,당일 (04/09),195143.0,1일전 (04/08),195143.0,1주일전 (04/02),193714.0,2주일전 (03/26),193714.0,1개월전,195429.0,1년전,205714.0,일평년,177539.0,2020-04-09
6,콩,141,흰 콩(수입)(35kg),03,중품,05,35kg,당일 (04/09),132400.0,1일전 (04/08),140000.0,1주일전 (04/02),141000.0,2주일전 (03/26),141000.0,1개월전,145000.0,1년전,135200.0,일평년,110800.0,2020-04-09
4,콩,141,흰 콩(국산)(40kg),01,상품,04,40kg,당일 (04/10),205257.0,1일전 (04/09),205257.0,1주일전 (04/03),204114.0,2주일전 (03/27),204114.0,1개월전,205143.0,1년전,217143.0,일평년,189410.0,2020-04-10
5,콩,141,흰 콩(국산)(40kg),01,중품,05,40kg,당일 (04/10),195143.0,1일전 (04/09),195143.0,1주일전 (04/03),193714.0,2주일전 (03/27),193714.0,1개월전,195429.0,1년전,205943.0,일평년,177554.0,2020-04-10
6,콩,141,흰 콩(수입)(35kg),03,중품,05,35kg,당일 (04/10),131400.0,1일전 (04/09),132400.0,1주일전 (04/03),141000.0,2주일전 (03/27),141000.0,1개월전,145000.0,1년전,135200.0,일평년,110800.0,2020-04-10
4,콩,141,흰 콩(국산)(40kg),01,상품,04,40kg,당일 (04/11),,1일전 (04/10),205257.0,1주일전 (04/04),,2주일전 (03/28),,1개월전,205143.0,1년전,217143.0,일평년,189410.0,2020-04-11
5,콩,141,흰 콩(국산)(40kg),01,중품,05,40kg,당일 (04/11),,1일전 (04/10),195143.0,1주일전 (04/04),,2주일전 (03/28),,1개월전,195429.0,1년전,205943.0,일평년,177554.0,2020-04-11
6,콩,141,흰 콩(수입)(35kg),03,중품,05,35kg,당일 (04/11),,1일전 (04/10),131400.0,1주일전 (04/04),,2주일전 (03/28),,1개월전,145000.0,1년전,135200.0,일평년,110800.0,2020-04-11
4,콩,141,흰 콩(국산)(40kg),01,상품,04,40kg,당일 (04/13),205257.0,1일전 (04/12),,1주일전 (04/06),204114.0,2주일전 (03/30),204114.0,1개월전,204114.0,1년전,217372.0,일평년,189638.0,2020-04-13
