,품목명,품목코드,품종명,품종코드,"상태(상품, 중품)",상태코드,단위,일자(조회일자),조회일자 가격,1일전 일자(조회일자 기준),1일전 가격,1주일전 일자(조회일자 기준),1주일전 가격,2주일전 일자(조회일자 기준),2주일전 가격,1개월전 일자(조회일자 기준),1개월전 가격,1년전 일자(조회일자 기준),1년전 가격,평년일자,평년 가격,날짜
7,팥,142,붉은 팥(국산)(40kg),00,상품,04,40kg,당일 (04/09),337000.0,1일전 (04/08),337000.0,1주일전 (04/02),337000.0,2주일전 (03/26),333000.0,1개월전,343250.0,1년전,454200.0,일평년,326400.0,2020-04-09
8,팥,142,붉은 팥(국산)(40kg),00,중품,05,40kg,당일 (04/09),306200.0,1일전 (04/08),306200.0,1주일전 (04/02),306200.0,2주일전 (03/26),302200.0,1개월전,310000.0,1년전,426000.0,일평년,303000.0,2020-04-09
9,팥,142,붉은 팥(수입)(40kg),01,중품,05,40kg,당일 (04/09),179400.0,1일전 (04/08),179200.0,1주일전 (04/02),178200.0,2주일전 (03/26),178200.0,1개월전,177750.0,1년전,165920.0,일평년,159407.0,2020-04-09
7,팥,142,붉은 팥(국산)(40kg),00,상품,04,40kg,당일 (04/10),337000.0,1일전 (04/09),337000.0,1주일전 (04/03),337000.0,2주일전 (03/27),333000.0,1개월전,343250.0,1년전,454200.0,일평년,326173.0,2020-04-10
8,팥,142,붉은 팥(국산)(40kg),00,중품,05,40kg,당일 (04/10),306200.0,1일전 (04/09),306200.0,1주일전 (04/03),306200.0,2주일전 (03/27),302200.0,1개월전,310000.0,1년전,426000.0,일평년,302853.0,2020-04-10
9,팥,142,붉은 팥(수입)(40kg),01,중품,05,40kg,당일 (04/10),179400.0,1일전 (04/09),179400.0,1주일전 (04/03),178200.0,2주일전 (03/27),178200.0,1개월전,177750.0,1년전,166240.0,일평년,159547.0,2020-04-10
7,팥,142,붉은 팥(국산)(40kg),00,상품,04,40kg,당일 (04/11),,1일전 (04/10),337000.0,1주일전 (04/04),,2주일전 (03/28),,1개월전,343250.0,1년전,454200.0,일평년,326173.0,2020-04-11
8,팥,142,붉은 팥(국산)(40kg),00,중품,05,40kg,당일 (04/11),,1일전 (04/10),306200.0,1주일전 (04/04),,2주일전 (03/28),,1개월전,310000.0,1년전,426000.0,일평년,302853.0,2020-04-11
9,팥,142,붉은 팥(수입)(40kg),01,중품,05,40kg,당일 (04/11),,1일전 (04/10),179400.0,1주일전 (04/04),,2주일전 (03/28),,1개월전,177750.0,1년전,166240.0,일평년,159547.0,2020-04-11
7,팥,142,붉은 팥(국산)(40kg),00,상품,04,40kg,당일 (04/13),337000.0,1일전 (04/12),,1주일전 (04/06),337000.0,2주일전 (03/30),333000.0,1개월전,335080.0,1년전,454200.0,일평년,325893.0,2020-04-13
8,팥,142,붉은 팥(국산)(40kg),00,중품,05,40kg,당일 (04/13),306200.0,1일전 (04/12),,1주일전 (04/06),306200.0,2주일전 (03/30),302200.0,1개월전,304440.0,1년전,426000.0,일평년,302813.0,2020-04-13
9,팥,142,붉은 팥(수입)(40kg),01,중품,05,40kg,당일 (04/13),179600.0,1일전 (04/12),,1주일전 (04/06),178200.0,2주일전 (03/30),178200.0,1개월전,178200.0,1년전,167200.0,일평년,160000.0,2020-04-13
7,팥,142,붉은 팥(국산)(40kg),00,상품,04,40kg,당일 (04/14),337000.0,1일전 (04/13),337000.0,1주일전 (04/07),337000.0,2주일전 (03/31),337000.0,1개월전,334950.0,1년전,454200.0,일평년,325800.0,2020-04-14
8,팥,142,붉은 팥(국산)(40kg),00,중품,05,40kg,당일 (04/14),306200.0,1일전 (04/13),306200.0,1주일전 (04/07),306200.0,2주일전 (03/31),306200.0,1개월전,304300.0,1년전,426000.0,일평년,302800.0,2020-04-14
9,팥,142,붉은 팥(수입)(40kg),01,중품,05,40kg,당일 (04/14),179600.0,1일전 (04/13),179600.0,1주일전 (04/07),179200.0,2주일전 (03/31),178200.0,1개월전,178200.0,1년전,167200.0,일평년,160000.0,2020-04-14
7,팥,142,붉은 팥(국산)(40kg),00,상품,04,40kg,당일 (04/15),,1일전 (04/14),337000.0,1주일전 (04/08),337000.0,2주일전 (04/01),337000.0,1개월전,334950.0,1년전,454200.0,일평년,325800.0,2020-04-15
8,팥,142,붉은 팥(국산)(40kg),00,중품,05,40kg,당일 (04/15),,1일전 (04/14),306200.0,1주일전 (04/08),306200.0,2주일전 (04/01),306200.0,1개월전,304300.0,1년전,426000.0,일평년,302800.0,2020-04-15
9,팥,142,붉은 팥(수입)(40kg),01,중품,05,40kg,당일 (04/15),,1일전 (04/14),179600.0,1주일전 (04/08),179200.0,2주일전 (04/01),178200.0,1개월전,178200.0,1년전,167200.0,일평년,160000.0,2020-04-15
7,팥,142,붉은 팥(국산)(40kg),00,상품,04,40kg,당일 (04/16),337000.0,1일전 (04/15),,1주일전 (04/09),337000.0,2주일전 (04/02),337000.0,1개월전,334560.0,1년전,454200.0,일평년,325800.0,2020-04-16
8,팥,142,붉은 팥(국산)(40kg),00,중품,05,40kg,당일 (04/16),306200.0,1일전 (04/15),,1주일전 (04/09),306200.0,2주일전 (04/02),306200.0,1개월전,303880.0,1년전,426000.0,일평년,302800.0,2020-04-16
9,팥,142,붉은 팥(수입)(40kg),01,중품,05,40kg,당일 (04/16),179600.0,1일전 (04/15),,1주일전 (04/09),179400.0,2주일전 (04/02),178200.0,1개월전,178200.0,1년전,167200.0,일평년,160000.0,2020-04-16
7,팥,142,붉은 팥(국산)(40kg),00,상품,04,40kg,당일 (04/17),337000.0,1일전 (04/16),337000.0,1주일전 (04/10),337000.0,2주일전 (04/03),337000.0,1개월전,334040.0,1년전,454600.0,일평년,325933.0,2020-04-17
8,팥,142,붉은 팥(국산)(40kg),00,중품,05,40kg,당일 (04/17),305000.0,1일전 (04/16),306200.0,1주일전 (04/10),306200.0,2주일전 (04/03),306200.0,1개월전,303320.0,1년전,426400.0,일평년,302933.0,2020-04-17
9,팥,142,붉은 팥(수입)(40kg),01,중품,05,40kg,당일 (04/17),179600.0,1일전 (04/16),179600.0,1주일전 (04/10),179400.0,2주일전 (04/03),178200.0,1개월전,178200.0,1년전,167200.0,일평년,160000.0,2020-04-17
