,품목명,품목코드,품종명,품종코드,"상태(상품, 중품)",상태코드,단위,일자(조회일자),조회일자 가격,1일전 일자(조회일자 기준),1일전 가격,1주일전 일자(조회일자 기준),1주일전 가격,2주일전 일자(조회일자 기준),2주일전 가격,1개월전 일자(조회일자 기준),1개월전 가격,1년전 일자(조회일자 기준),1년전 가격,평년일자,평년 가격
26,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (03/15),17800.0,1일전 (03/14),17800.0,1주일전 (03/08),18260.0,2주일전 (03/01),,1개월전,22268.0,1년전,17560.0,일평년,16846.0
27,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (03/15),13200.0,1일전 (03/14),13200.0,1주일전 (03/08),13720.0,2주일전 (03/01),,1개월전,17268.0,1년전,13840.0,일평년,12629.0
28,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (03/16),17800.0,1일전 (03/15),17800.0,1주일전 (03/09),,2주일전 (03/02),18660.0,1개월전,21088.0,1년전,17308.0,일평년,16690.0
29,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (03/16),13200.0,1일전 (03/15),13200.0,1주일전 (03/09),,2주일전 (03/02),13860.0,1개월전,16088.0,1년전,13628.0,일평년,12561.0
28,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (03/17),17060.0,1일전 (03/16),17800.0,1주일전 (03/10),17720.0,2주일전 (03/03),18520.0,1개월전,19948.0,1년전,17304.0,일평년,16632.0
29,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (03/17),12460.0,1일전 (03/16),13200.0,1주일전 (03/10),13120.0,2주일전 (03/03),13720.0,1개월전,14948.0,1년전,13664.0,일평년,12513.0
28,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (03/18),17120.0,1일전 (03/17),17060.0,1주일전 (03/11),17240.0,2주일전 (03/04),18520.0,1개월전,19612.0,1년전,17088.0,일평년,16469.0
29,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (03/18),12520.0,1일전 (03/17),12460.0,1주일전 (03/11),12640.0,2주일전 (03/04),14000.0,1개월전,14612.0,1년전,13448.0,일평년,12335.0
28,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (03/19),,1일전 (03/18),17120.0,1주일전 (03/12),,2주일전 (03/05),,1개월전,19612.0,1년전,17088.0,일평년,16469.0
29,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (03/19),,1일전 (03/18),12520.0,1주일전 (03/12),,2주일전 (03/05),,1개월전,14612.0,1년전,13448.0,일평년,12335.0
28,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (03/21),17320.0,1일전 (03/20),,1주일전 (03/14),17800.0,2주일전 (03/07),18320.0,1개월전,19544.0,1년전,17310.0,일평년,16193.0
29,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (03/21),12720.0,1일전 (03/20),,1주일전 (03/14),13200.0,2주일전 (03/07),13800.0,1개월전,14544.0,1년전,13670.0,일평년,12065.0
28,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (03/22),17400.0,1일전 (03/21),17320.0,1주일전 (03/15),17800.0,2주일전 (03/08),18260.0,1개월전,19624.0,1년전,17264.0,일평년,16149.0
29,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (03/22),12800.0,1일전 (03/21),12720.0,1주일전 (03/15),13200.0,2주일전 (03/08),13720.0,1개월전,14624.0,1년전,13624.0,일평년,12071.0
28,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (03/23),18940.0,1일전 (03/22),17400.0,1주일전 (03/16),17800.0,2주일전 (03/09),,1개월전,19616.0,1년전,16924.0,일평년,16138.0
29,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (03/23),14340.0,1일전 (03/22),12800.0,1주일전 (03/16),13200.0,2주일전 (03/09),,1개월전,14616.0,1년전,13284.0,일평년,12086.0
28,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (03/24),18940.0,1일전 (03/23),18940.0,1주일전 (03/17),17060.0,2주일전 (03/10),17720.0,1개월전,19620.0,1년전,16560.0,일평년,16097.0
29,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (03/24),14340.0,1일전 (03/23),14340.0,1주일전 (03/17),12460.0,2주일전 (03/10),13120.0,1개월전,14620.0,1년전,12920.0,일평년,12056.0
28,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (03/25),18680.0,1일전 (03/24),18940.0,1주일전 (03/18),17120.0,2주일전 (03/11),17240.0,1개월전,19412.0,1년전,16272.0,일평년,15994.0
29,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (03/25),14080.0,1일전 (03/24),14340.0,1주일전 (03/18),12520.0,2주일전 (03/11),12640.0,1개월전,14452.0,1년전,12632.0,일평년,11969.0
28,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (03/26),,1일전 (03/25),18680.0,1주일전 (03/19),,2주일전 (03/12),,1개월전,19412.0,1년전,16272.0,일평년,15994.0
29,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (03/26),,1일전 (03/25),14080.0,1주일전 (03/19),,2주일전 (03/12),,1개월전,14452.0,1년전,12632.0,일평년,11969.0
28,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (03/28),20340.0,1일전 (03/27),,1주일전 (03/21),17320.0,2주일전 (03/14),17800.0,1개월전,19148.0,1년전,15400.0,일평년,15904.0
29,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (03/28),15540.0,1일전 (03/27),,1주일전 (03/21),12720.0,2주일전 (03/14),13200.0,1개월전,14228.0,1년전,11820.0,일평년,11949.0
