,품목명,품목코드,품종명,품종코드,"상태(상품, 중품)",상태코드,단위,일자(조회일자),조회일자 가격,1일전 일자(조회일자 기준),1일전 가격,1주일전 일자(조회일자 기준),1주일전 가격,2주일전 일자(조회일자 기준),2주일전 가격,1개월전 일자(조회일자 기준),1개월전 가격,1년전 일자(조회일자 기준),1년전 가격,평년일자,평년 가격,날짜
28,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (04/04),14800.0,1일전 (04/03),15400.0,1주일전 (03/28),17400.0,2주일전 (03/21),16000.0,1개월전,17150.0,1년전,13040.0,일평년,15533.0,2018-04-04
29,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (04/04),10200.0,1일전 (04/03),10800.0,1주일전 (03/28),12800.0,2주일전 (03/21),11400.0,1개월전,12500.0,1년전,9880.0,일평년,11547.0,2018-04-04
28,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (04/05),14000.0,1일전 (04/04),14800.0,1주일전 (03/29),17000.0,2주일전 (03/22),16000.0,1개월전,17000.0,1년전,12440.0,일평년,15467.0,2018-04-05
29,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (04/05),9600.0,1일전 (04/04),10200.0,1주일전 (03/29),12400.0,2주일전 (03/22),11400.0,1개월전,12320.0,1년전,9480.0,일평년,11467.0,2018-04-05
28,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (04/06),14000.0,1일전 (04/05),14000.0,1주일전 (03/30),16600.0,2주일전 (03/23),16200.0,1개월전,16760.0,1년전,12200.0,일평년,15360.0,2018-04-06
29,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (04/06),9600.0,1일전 (04/05),9600.0,1주일전 (03/30),12000.0,2주일전 (03/23),11600.0,1개월전,12040.0,1년전,9400.0,일평년,11360.0,2018-04-06
28,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (04/07),,1일전 (04/06),14000.0,1주일전 (03/31),,2주일전 (03/24),,1개월전,16760.0,1년전,12200.0,일평년,15360.0,2018-04-07
29,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (04/07),,1일전 (04/06),9600.0,1주일전 (03/31),,2주일전 (03/24),,1개월전,12040.0,1년전,9400.0,일평년,11360.0,2018-04-07
28,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (04/09),15600.0,1일전 (04/08),,1주일전 (04/02),15600.0,2주일전 (03/26),16800.0,1개월전,16320.0,1년전,11900.0,일평년,15820.0,2018-04-09
29,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (04/09),11200.0,1일전 (04/08),,1주일전 (04/02),11000.0,2주일전 (03/26),12200.0,1개월전,11520.0,1년전,9400.0,일평년,11647.0,2018-04-09
28,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (04/10),16200.0,1일전 (04/09),15600.0,1주일전 (04/03),15400.0,2주일전 (03/27),16800.0,1개월전,16300.0,1년전,11880.0,일평년,15913.0,2018-04-10
29,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (04/10),11800.0,1일전 (04/09),11200.0,1주일전 (04/03),10800.0,2주일전 (03/27),12200.0,1개월전,11500.0,1년전,9400.0,일평년,11687.0,2018-04-10
28,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (04/11),16600.0,1일전 (04/10),16200.0,1주일전 (04/04),14800.0,2주일전 (03/28),17400.0,1개월전,16300.0,1년전,11880.0,일평년,15843.0,2018-04-11
29,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (04/11),12200.0,1일전 (04/10),11800.0,1주일전 (04/04),10200.0,2주일전 (03/28),12800.0,1개월전,11500.0,1년전,9480.0,일평년,11680.0,2018-04-11
28,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (04/12),16800.0,1일전 (04/11),16600.0,1주일전 (04/05),14000.0,2주일전 (03/29),17000.0,1개월전,16360.0,1년전,11960.0,일평년,15773.0,2018-04-12
29,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (04/12),12400.0,1일전 (04/11),12200.0,1주일전 (04/05),9600.0,2주일전 (03/29),12400.0,1개월전,11560.0,1년전,9560.0,일평년,11640.0,2018-04-12
28,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (04/13),16800.0,1일전 (04/12),16800.0,1주일전 (04/06),14000.0,2주일전 (03/30),16600.0,1개월전,16400.0,1년전,11960.0,일평년,15747.0,2018-04-13
29,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (04/13),12400.0,1일전 (04/12),12400.0,1주일전 (04/06),9600.0,2주일전 (03/30),12000.0,1개월전,11600.0,1년전,9560.0,일평년,11573.0,2018-04-13
28,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (04/14),,1일전 (04/13),16800.0,1주일전 (04/07),,2주일전 (03/31),,1개월전,16400.0,1년전,11960.0,일평년,15747.0,2018-04-14
29,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (04/14),,1일전 (04/13),12400.0,1주일전 (04/07),,2주일전 (03/31),,1개월전,11600.0,1년전,9560.0,일평년,11573.0,2018-04-14
28,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (04/16),16800.0,1일전 (04/15),,1주일전 (04/09),15600.0,2주일전 (04/02),15600.0,1개월전,16280.0,1년전,12000.0,일평년,15307.0,2018-04-16
29,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (04/16),12400.0,1일전 (04/15),,1주일전 (04/09),11200.0,2주일전 (04/02),11000.0,1개월전,11600.0,1년전,9600.0,일평년,11300.0,2018-04-16
28,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (04/17),16800.0,1일전 (04/16),16800.0,1주일전 (04/10),16200.0,2주일전 (04/03),15400.0,1개월전,16200.0,1년전,11960.0,일평년,15280.0,2018-04-17
29,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (04/17),12400.0,1일전 (04/16),12400.0,1주일전 (04/10),11800.0,2주일전 (04/03),10800.0,1개월전,11550.0,1년전,9560.0,일평년,11287.0,2018-04-17
28,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (04/18),16800.0,1일전 (04/17),16800.0,1주일전 (04/11),16600.0,2주일전 (04/04),14800.0,1개월전,16200.0,1년전,11960.0,일평년,15280.0,2018-04-18
29,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (04/18),12400.0,1일전 (04/17),12400.0,1주일전 (04/11),12200.0,2주일전 (04/04),10200.0,1개월전,11550.0,1년전,9560.0,일평년,11253.0,2018-04-18
28,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (04/19),16800.0,1일전 (04/18),16800.0,1주일전 (04/12),16800.0,2주일전 (04/05),14000.0,1개월전,16160.0,1년전,11840.0,일평년,15240.0,2018-04-19
29,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (04/19),12400.0,1일전 (04/18),12400.0,1주일전 (04/12),12400.0,2주일전 (04/05),9600.0,1개월전,11520.0,1년전,9440.0,일평년,11213.0,2018-04-19
28,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (04/20),17000.0,1일전 (04/19),16800.0,1주일전 (04/13),16800.0,2주일전 (04/06),14000.0,1개월전,16080.0,1년전,11880.0,일평년,15200.0,2018-04-20
29,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (04/20),12600.0,1일전 (04/19),12400.0,1주일전 (04/13),12400.0,2주일전 (04/06),9600.0,1개월전,11480.0,1년전,9480.0,일평년,11133.0,2018-04-20
28,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (04/21),,1일전 (04/20),17000.0,1주일전 (04/14),,2주일전 (04/07),,1개월전,16080.0,1년전,11880.0,일평년,15200.0,2018-04-21
29,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (04/21),,1일전 (04/20),12600.0,1주일전 (04/14),,2주일전 (04/07),,1개월전,11480.0,1년전,9480.0,일평년,11133.0,2018-04-21
28,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (04/23),17000.0,1일전 (04/22),,1주일전 (04/16),16800.0,2주일전 (04/09),15600.0,1개월전,16360.0,1년전,11950.0,일평년,15100.0,2018-04-23
29,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (04/23),12600.0,1일전 (04/22),,1주일전 (04/16),12400.0,2주일전 (04/09),11200.0,1개월전,11760.0,1년전,9550.0,일평년,11110.0,2018-04-23
28,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (04/24),17200.0,1일전 (04/23),17000.0,1주일전 (04/17),16800.0,2주일전 (04/10),16200.0,1개월전,16450.0,1년전,11960.0,일평년,14940.0,2018-04-24
29,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (04/24),12800.0,1일전 (04/23),12600.0,1주일전 (04/17),12400.0,2주일전 (04/10),11800.0,1개월전,11850.0,1년전,9560.0,일평년,10973.0,2018-04-24
28,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (04/25),16800.0,1일전 (04/24),17200.0,1주일전 (04/18),16800.0,2주일전 (04/11),16600.0,1개월전,16450.0,1년전,11960.0,일평년,14867.0,2018-04-25
29,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (04/25),12400.0,1일전 (04/24),12800.0,1주일전 (04/18),12400.0,2주일전 (04/11),12200.0,1개월전,11850.0,1년전,9560.0,일평년,10920.0,2018-04-25
28,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (04/26),17200.0,1일전 (04/25),16800.0,1주일전 (04/19),16800.0,2주일전 (04/12),16800.0,1개월전,16640.0,1년전,12160.0,일평년,14767.0,2018-04-26
29,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (04/26),12800.0,1일전 (04/25),12400.0,1주일전 (04/19),12400.0,2주일전 (04/12),12400.0,1개월전,12040.0,1년전,9760.0,일평년,10887.0,2018-04-26
28,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (04/27),17600.0,1일전 (04/26),17200.0,1주일전 (04/20),17000.0,2주일전 (04/13),16800.0,1개월전,16840.0,1년전,12200.0,일평년,14627.0,2018-04-27
29,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (04/27),13200.0,1일전 (04/26),12800.0,1주일전 (04/20),12600.0,2주일전 (04/13),12400.0,1개월전,12240.0,1년전,9800.0,일평년,10867.0,2018-04-27
28,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (04/28),,1일전 (04/27),17600.0,1주일전 (04/21),,2주일전 (04/14),,1개월전,16840.0,1년전,12200.0,일평년,14627.0,2018-04-28
29,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (04/28),,1일전 (04/27),13200.0,1주일전 (04/21),,2주일전 (04/14),,1개월전,12240.0,1년전,9800.0,일평년,10867.0,2018-04-28
28,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (04/30),17600.0,1일전 (04/29),,1주일전 (04/23),17000.0,2주일전 (04/16),16800.0,1개월전,16150.0,1년전,12200.0,일평년,14300.0,2018-04-30
29,딸기,226,딸기(2kg),00,중품,05,2kg,당일 (04/30),13200.0,1일전 (04/29),,1주일전 (04/23),12600.0,2주일전 (04/16),12400.0,1개월전,11550.0,1년전,9800.0,일평년,10807.0,2018-04-30
28,딸기,226,딸기(2kg),00,상품,04,2kg,당일 (05/01),,1일전 (04/30),17600.0,1주일전 (04/24),17200.0,2주일전 (04/17),16800.0,1개월전,16150.0,1년전,12200.0,일평년,14300.0,2018-05-01
