,품목명,품목코드,품종명,품종코드,"상태(상품, 중품)",상태코드,단위,일자(조회일자),조회일자 가격,1일전 일자(조회일자 기준),1일전 가격,1주일전 일자(조회일자 기준),1주일전 가격,2주일전 일자(조회일자 기준),2주일전 가격,1개월전 일자(조회일자 기준),1개월전 가격,1년전 일자(조회일자 기준),1년전 가격,평년일자,평년 가격,날짜
10,녹두,143,국산(40kg),00,상품,04,40kg,당일 (04/09),414800.0,1일전 (04/08),414800.0,1주일전 (04/02),399200.0,2주일전 (03/26),395200.0,1개월전,400750.0,1년전,400200.0,일평년,377200.0,2020-04-09
11,녹두,143,국산(40kg),00,중품,05,40kg,당일 (04/09),382000.0,1일전 (04/08),382000.0,1주일전 (04/02),377600.0,2주일전 (03/26),373600.0,1개월전,378750.0,1년전,381000.0,일평년,354333.0,2020-04-09
12,녹두,143,수입(40kg),01,중품,05,40kg,당일 (04/09),208750.0,1일전 (04/08),208750.0,1주일전 (04/02),208750.0,2주일전 (03/26),208750.0,1개월전,221667.0,1년전,230200.0,일평년,222667.0,2020-04-09
10,녹두,143,국산(40kg),00,상품,04,40kg,당일 (04/10),414800.0,1일전 (04/09),414800.0,1주일전 (04/03),399200.0,2주일전 (03/27),395200.0,1개월전,400750.0,1년전,400200.0,일평년,377200.0,2020-04-10
11,녹두,143,국산(40kg),00,중품,05,40kg,당일 (04/10),382000.0,1일전 (04/09),382000.0,1주일전 (04/03),377600.0,2주일전 (03/27),373600.0,1개월전,378750.0,1년전,381000.0,일평년,354333.0,2020-04-10
12,녹두,143,수입(40kg),01,중품,05,40kg,당일 (04/10),208750.0,1일전 (04/09),208750.0,1주일전 (04/03),208750.0,2주일전 (03/27),208750.0,1개월전,221667.0,1년전,230200.0,일평년,222533.0,2020-04-10
10,녹두,143,국산(40kg),00,상품,04,40kg,당일 (04/11),,1일전 (04/10),414800.0,1주일전 (04/04),,2주일전 (03/28),,1개월전,400750.0,1년전,400200.0,일평년,377200.0,2020-04-11
11,녹두,143,국산(40kg),00,중품,05,40kg,당일 (04/11),,1일전 (04/10),382000.0,1주일전 (04/04),,2주일전 (03/28),,1개월전,378750.0,1년전,381000.0,일평년,354333.0,2020-04-11
12,녹두,143,수입(40kg),01,중품,05,40kg,당일 (04/11),,1일전 (04/10),208750.0,1주일전 (04/04),,2주일전 (03/28),,1개월전,221667.0,1년전,230200.0,일평년,222533.0,2020-04-11
10,녹두,143,국산(40kg),00,상품,04,40kg,당일 (04/13),413400.0,1일전 (04/12),,1주일전 (04/06),400600.0,2주일전 (03/30),395200.0,1개월전,394600.0,1년전,400200.0,일평년,377200.0,2020-04-13
11,녹두,143,국산(40kg),00,중품,05,40kg,당일 (04/13),382000.0,1일전 (04/12),,1주일전 (04/06),379000.0,2주일전 (03/30),373600.0,1개월전,373000.0,1년전,381000.0,일평년,354333.0,2020-04-13
12,녹두,143,수입(40kg),01,중품,05,40kg,당일 (04/13),208750.0,1일전 (04/12),,1주일전 (04/06),208750.0,2주일전 (03/30),208750.0,1개월전,210250.0,1년전,230200.0,일평년,222400.0,2020-04-13
10,녹두,143,국산(40kg),00,상품,04,40kg,당일 (04/14),413400.0,1일전 (04/13),413400.0,1주일전 (04/07),400600.0,2주일전 (03/31),395200.0,1개월전,394600.0,1년전,400200.0,일평년,377200.0,2020-04-14
11,녹두,143,국산(40kg),00,중품,05,40kg,당일 (04/14),382000.0,1일전 (04/13),382000.0,1주일전 (04/07),379000.0,2주일전 (03/31),373600.0,1개월전,373000.0,1년전,381000.0,일평년,354333.0,2020-04-14
12,녹두,143,수입(40kg),01,중품,05,40kg,당일 (04/14),208750.0,1일전 (04/13),208750.0,1주일전 (04/07),208750.0,2주일전 (03/31),208750.0,1개월전,210000.0,1년전,230200.0,일평년,222133.0,2020-04-14
10,녹두,143,국산(40kg),00,상품,04,40kg,당일 (04/15),,1일전 (04/14),413400.0,1주일전 (04/08),414800.0,2주일전 (04/01),395200.0,1개월전,394600.0,1년전,400200.0,일평년,377200.0,2020-04-15
11,녹두,143,국산(40kg),00,중품,05,40kg,당일 (04/15),,1일전 (04/14),382000.0,1주일전 (04/08),382000.0,2주일전 (04/01),373600.0,1개월전,373000.0,1년전,381000.0,일평년,354333.0,2020-04-15
12,녹두,143,수입(40kg),01,중품,05,40kg,당일 (04/15),,1일전 (04/14),208750.0,1주일전 (04/08),208750.0,2주일전 (04/01),208750.0,1개월전,210000.0,1년전,230200.0,일평년,222133.0,2020-04-15
10,녹두,143,국산(40kg),00,상품,04,40kg,당일 (04/16),413400.0,1일전 (04/15),,1주일전 (04/09),414800.0,2주일전 (04/02),399200.0,1개월전,394600.0,1년전,400200.0,일평년,377000.0,2020-04-16
11,녹두,143,국산(40kg),00,중품,05,40kg,당일 (04/16),382000.0,1일전 (04/15),,1주일전 (04/09),382000.0,2주일전 (04/02),377600.0,1개월전,373000.0,1년전,381000.0,일평년,354333.0,2020-04-16
12,녹두,143,수입(40kg),01,중품,05,40kg,당일 (04/16),208750.0,1일전 (04/15),,1주일전 (04/09),208750.0,2주일전 (04/02),208750.0,1개월전,209750.0,1년전,230200.0,일평년,221867.0,2020-04-16
10,녹두,143,국산(40kg),00,상품,04,40kg,당일 (04/17),417400.0,1일전 (04/16),413400.0,1주일전 (04/10),414800.0,2주일전 (04/03),399200.0,1개월전,394600.0,1년전,400200.0,일평년,377000.0,2020-04-17
11,녹두,143,국산(40kg),00,중품,05,40kg,당일 (04/17),386000.0,1일전 (04/16),382000.0,1주일전 (04/10),382000.0,2주일전 (04/03),377600.0,1개월전,373000.0,1년전,381000.0,일평년,354333.0,2020-04-17
12,녹두,143,수입(40kg),01,중품,05,40kg,당일 (04/17),208750.0,1일전 (04/16),208750.0,1주일전 (04/10),208750.0,2주일전 (04/03),208750.0,1개월전,209250.0,1년전,230200.0,일평년,221733.0,2020-04-17
10,녹두,143,국산(40kg),00,상품,04,40kg,당일 (04/18),,1일전 (04/17),417400.0,1주일전 (04/11),,2주일전 (04/04),,1개월전,394600.0,1년전,400200.0,일평년,377000.0,2020-04-18
