,품목명,품목코드,품종명,품종코드,"상태(상품, 중품)",상태코드,단위,일자(조회일자),조회일자 가격,1일전 일자(조회일자 기준),1일전 가격,1주일전 일자(조회일자 기준),1주일전 가격,2주일전 일자(조회일자 기준),2주일전 가격,1개월전 일자(조회일자 기준),1개월전 가격,1년전 일자(조회일자 기준),1년전 가격,평년일자,평년 가격,날짜
0,배추,211,월동(10kg),06,상품,04,10kg,당일 (04/09),9700.0,1일전 (04/08),9400.0,1주일전 (04/02),10200.0,2주일전 (03/26),9400.0,1개월전,9900.0,1년전,3320.0,일평년,7147.0,2020-04-09
1,배추,211,월동(10kg),06,중품,05,10kg,당일 (04/09),7500.0,1일전 (04/08),7200.0,1주일전 (04/02),8000.0,2주일전 (03/26),7200.0,1개월전,7650.0,1년전,2332.0,일평년,5747.0,2020-04-09
0,배추,211,월동(10kg),06,상품,04,10kg,당일 (04/10),9700.0,1일전 (04/09),9700.0,1주일전 (04/03),9600.0,2주일전 (03/27),9300.0,1개월전,9950.0,1년전,3300.0,일평년,7080.0,2020-04-10
1,배추,211,월동(10kg),06,중품,05,10kg,당일 (04/10),7500.0,1일전 (04/09),7500.0,1주일전 (04/03),7400.0,2주일전 (03/27),7100.0,1개월전,7700.0,1년전,2324.0,일평년,5680.0,2020-04-10
0,배추,211,월동(10kg),06,상품,04,10kg,당일 (04/11),,1일전 (04/10),9700.0,1주일전 (04/04),,2주일전 (03/28),,1개월전,9950.0,1년전,3300.0,일평년,7080.0,2020-04-11
1,배추,211,월동(10kg),06,중품,05,10kg,당일 (04/11),,1일전 (04/10),7500.0,1주일전 (04/04),,2주일전 (03/28),,1개월전,7700.0,1년전,2324.0,일평년,5680.0,2020-04-11
0,배추,211,월동(10kg),06,상품,04,10kg,당일 (04/13),9700.0,1일전 (04/12),,1주일전 (04/06),9400.0,2주일전 (03/30),10200.0,1개월전,9880.0,1년전,3290.0,일평년,6900.0,2020-04-13
1,배추,211,월동(10kg),06,중품,05,10kg,당일 (04/13),7500.0,1일전 (04/12),,1주일전 (04/06),7200.0,2주일전 (03/30),8000.0,1개월전,7680.0,1년전,2350.0,일평년,5500.0,2020-04-13
0,배추,211,월동(10kg),06,상품,04,10kg,당일 (04/14),10100.0,1일전 (04/13),9700.0,1주일전 (04/07),9400.0,2주일전 (03/31),10000.0,1개월전,9850.0,1년전,3290.0,일평년,6822.0,2020-04-14
1,배추,211,월동(10kg),06,중품,05,10kg,당일 (04/14),8000.0,1일전 (04/13),7500.0,1주일전 (04/07),7200.0,2주일전 (03/31),7800.0,1개월전,7650.0,1년전,2350.0,일평년,5422.0,2020-04-14
0,배추,211,월동(10kg),06,상품,04,10kg,당일 (04/15),,1일전 (04/14),10100.0,1주일전 (04/08),9400.0,2주일전 (04/01),9800.0,1개월전,9850.0,1년전,3290.0,일평년,6822.0,2020-04-15
1,배추,211,월동(10kg),06,중품,05,10kg,당일 (04/15),,1일전 (04/14),8000.0,1주일전 (04/08),7200.0,2주일전 (04/01),7600.0,1개월전,7650.0,1년전,2350.0,일평년,5422.0,2020-04-15
0,배추,211,월동(10kg),06,상품,04,10kg,당일 (04/16),10200.0,1일전 (04/15),,1주일전 (04/09),9700.0,2주일전 (04/02),10200.0,1개월전,9800.0,1년전,3320.0,일평년,6793.0,2020-04-16
1,배추,211,월동(10kg),06,중품,05,10kg,당일 (04/16),8000.0,1일전 (04/15),,1주일전 (04/09),7500.0,2주일전 (04/02),8000.0,1개월전,7600.0,1년전,2380.0,일평년,5393.0,2020-04-16
0,배추,211,월동(10kg),06,상품,04,10kg,당일 (04/17),10300.0,1일전 (04/16),10200.0,1주일전 (04/10),9700.0,2주일전 (04/03),9600.0,1개월전,9720.0,1년전,3340.0,일평년,6780.0,2020-04-17
1,배추,211,월동(10kg),06,중품,05,10kg,당일 (04/17),8000.0,1일전 (04/16),8000.0,1주일전 (04/10),7500.0,2주일전 (04/03),7400.0,1개월전,7520.0,1년전,2400.0,일평년,5380.0,2020-04-17
0,배추,211,월동(10kg),06,상품,04,10kg,당일 (04/18),,1일전 (04/17),10300.0,1주일전 (04/11),,2주일전 (04/04),,1개월전,9720.0,1년전,3340.0,일평년,6780.0,2020-04-18
1,배추,211,월동(10kg),06,중품,05,10kg,당일 (04/18),,1일전 (04/17),8000.0,1주일전 (04/11),,2주일전 (04/04),,1개월전,7520.0,1년전,2400.0,일평년,5380.0,2020-04-18
0,배추,211,월동(10kg),06,상품,04,10kg,당일 (04/20),10300.0,1일전 (04/19),,1주일전 (04/13),9700.0,2주일전 (04/06),9400.0,1개월전,9400.0,1년전,3340.0,일평년,6767.0,2020-04-20
1,배추,211,월동(10kg),06,중품,05,10kg,당일 (04/20),8100.0,1일전 (04/19),,1주일전 (04/13),7500.0,2주일전 (04/06),7200.0,1개월전,7200.0,1년전,2400.0,일평년,5367.0,2020-04-20
0,배추,211,월동(10kg),06,상품,04,10kg,당일 (04/21),10300.0,1일전 (04/20),10300.0,1주일전 (04/14),10100.0,2주일전 (04/07),9400.0,1개월전,9350.0,1년전,3340.0,일평년,6780.0,2020-04-21
1,배추,211,월동(10kg),06,중품,05,10kg,당일 (04/21),8100.0,1일전 (04/20),8100.0,1주일전 (04/14),8000.0,2주일전 (04/07),7200.0,1개월전,7150.0,1년전,2400.0,일평년,5380.0,2020-04-21
0,배추,211,월동(10kg),06,상품,04,10kg,당일 (04/22),11300.0,1일전 (04/21),10300.0,1주일전 (04/15),,2주일전 (04/08),9400.0,1개월전,9350.0,1년전,3360.0,일평년,6795.0,2020-04-22
1,배추,211,월동(10kg),06,중품,05,10kg,당일 (04/22),9100.0,1일전 (04/21),8100.0,1주일전 (04/15),,2주일전 (04/08),7200.0,1개월전,7150.0,1년전,2420.0,일평년,5395.0,2020-04-22
0,배추,211,월동(10kg),06,상품,04,10kg,당일 (04/23),11900.0,1일전 (04/22),11300.0,1주일전 (04/16),10200.0,2주일전 (04/09),9700.0,1개월전,9360.0,1년전,3392.0,일평년,6835.0,2020-04-23
1,배추,211,월동(10kg),06,중품,05,10kg,당일 (04/23),9700.0,1일전 (04/22),9100.0,1주일전 (04/16),8000.0,2주일전 (04/09),7500.0,1개월전,7160.0,1년전,2452.0,일평년,5435.0,2020-04-23
0,배추,211,월동(10kg),06,상품,04,10kg,당일 (04/24),12600.0,1일전 (04/23),11900.0,1주일전 (04/17),10300.0,2주일전 (04/10),9700.0,1개월전,9360.0,1년전,3452.0,일평년,6833.0,2020-04-24
1,배추,211,월동(10kg),06,중품,05,10kg,당일 (04/24),10400.0,1일전 (04/23),9700.0,1주일전 (04/17),8000.0,2주일전 (04/10),7500.0,1개월전,7160.0,1년전,2512.0,일평년,5433.0,2020-04-24
0,배추,211,월동(10kg),06,상품,04,10kg,당일 (04/25),,1일전 (04/24),12600.0,1주일전 (04/18),,2주일전 (04/11),,1개월전,9360.0,1년전,3452.0,일평년,6833.0,2020-04-25
1,배추,211,월동(10kg),06,중품,05,10kg,당일 (04/25),,1일전 (04/24),10400.0,1주일전 (04/18),,2주일전 (04/11),,1개월전,7160.0,1년전,2512.0,일평년,5433.0,2020-04-25
0,배추,211,월동(10kg),06,상품,04,10kg,당일 (04/27),12900.0,1일전 (04/26),,1주일전 (04/20),10300.0,2주일전 (04/13),9700.0,1개월전,9660.0,1년전,3605.0,일평년,6727.0,2020-04-27
1,배추,211,월동(10kg),06,중품,05,10kg,당일 (04/27),10700.0,1일전 (04/26),,1주일전 (04/20),8100.0,2주일전 (04/13),7500.0,1개월전,7460.0,1년전,2665.0,일평년,5327.0,2020-04-27
0,배추,211,월동(10kg),06,상품,04,10kg,당일 (04/28),14600.0,1일전 (04/27),12900.0,1주일전 (04/21),10300.0,2주일전 (04/14),10100.0,1개월전,9725.0,1년전,3605.0,일평년,5953.0,2020-04-28
