,품목명,품목코드,품종명,품종코드,"상태(상품, 중품)",상태코드,단위,일자(조회일자),조회일자 가격,1일전 일자(조회일자 기준),1일전 가격,1주일전 일자(조회일자 기준),1주일전 가격,2주일전 일자(조회일자 기준),2주일전 가격,1개월전 일자(조회일자 기준),1개월전 가격,1년전 일자(조회일자 기준),1년전 가격,평년일자,평년 가격,날짜
10,얼갈이배추,215,얼갈이배추(4kg),00,상품,04,4kg,당일 (04/09),5200.0,1일전 (04/08),5200.0,1주일전 (04/02),5000.0,2주일전 (03/26),5660.0,1개월전,4675.0,1년전,6000.0,일평년,5612.0,2020-04-09
11,얼갈이배추,215,얼갈이배추(4kg),00,중품,05,4kg,당일 (04/09),4100.0,1일전 (04/08),4100.0,1주일전 (04/02),3900.0,2주일전 (03/26),4660.0,1개월전,3675.0,1년전,4800.0,일평년,4361.0,2020-04-09
10,얼갈이배추,215,얼갈이배추(4kg),00,상품,04,4kg,당일 (04/10),4600.0,1일전 (04/09),5200.0,1주일전 (04/03),4800.0,2주일전 (03/27),5800.0,1개월전,4750.0,1년전,6000.0,일평년,5583.0,2020-04-10
11,얼갈이배추,215,얼갈이배추(4kg),00,중품,05,4kg,당일 (04/10),3600.0,1일전 (04/09),4100.0,1주일전 (04/03),3800.0,2주일전 (03/27),4800.0,1개월전,3750.0,1년전,4800.0,일평년,4325.0,2020-04-10
10,얼갈이배추,215,얼갈이배추(4kg),00,상품,04,4kg,당일 (04/11),,1일전 (04/10),4600.0,1주일전 (04/04),,2주일전 (03/28),,1개월전,4750.0,1년전,6000.0,일평년,5583.0,2020-04-11
11,얼갈이배추,215,얼갈이배추(4kg),00,중품,05,4kg,당일 (04/11),,1일전 (04/10),3600.0,1주일전 (04/04),,2주일전 (03/28),,1개월전,3750.0,1년전,4800.0,일평년,4325.0,2020-04-11
10,얼갈이배추,215,얼갈이배추(4kg),00,상품,04,4kg,당일 (04/13),4900.0,1일전 (04/12),,1주일전 (04/06),5000.0,2주일전 (03/30),5400.0,1개월전,4600.0,1년전,6150.0,일평년,5564.0,2020-04-13
11,얼갈이배추,215,얼갈이배추(4kg),00,중품,05,4kg,당일 (04/13),3900.0,1일전 (04/12),,1주일전 (04/06),4000.0,2주일전 (03/30),4400.0,1개월전,3600.0,1년전,4950.0,일평년,4317.0,2020-04-13
10,얼갈이배추,215,얼갈이배추(4kg),00,상품,04,4kg,당일 (04/14),4800.0,1일전 (04/13),4900.0,1주일전 (04/07),5100.0,2주일전 (03/31),5200.0,1개월전,4550.0,1년전,6150.0,일평년,5568.0,2020-04-14
11,얼갈이배추,215,얼갈이배추(4kg),00,중품,05,4kg,당일 (04/14),3700.0,1일전 (04/13),3900.0,1주일전 (04/07),4100.0,2주일전 (03/31),4200.0,1개월전,3550.0,1년전,4950.0,일평년,4326.0,2020-04-14
10,얼갈이배추,215,얼갈이배추(4kg),00,상품,04,4kg,당일 (04/15),,1일전 (04/14),4800.0,1주일전 (04/08),5200.0,2주일전 (04/01),5300.0,1개월전,4550.0,1년전,6150.0,일평년,5568.0,2020-04-15
11,얼갈이배추,215,얼갈이배추(4kg),00,중품,05,4kg,당일 (04/15),,1일전 (04/14),3700.0,1주일전 (04/08),4100.0,2주일전 (04/01),4200.0,1개월전,3550.0,1년전,4950.0,일평년,4326.0,2020-04-15
10,얼갈이배추,215,얼갈이배추(4kg),00,상품,04,4kg,당일 (04/16),4200.0,1일전 (04/15),,1주일전 (04/09),5200.0,2주일전 (04/02),5000.0,1개월전,4540.0,1년전,6240.0,일평년,5520.0,2020-04-16
11,얼갈이배추,215,얼갈이배추(4kg),00,중품,05,4kg,당일 (04/16),3100.0,1일전 (04/15),,1주일전 (04/09),4100.0,2주일전 (04/02),3900.0,1개월전,3540.0,1년전,5080.0,일평년,4273.0,2020-04-16
10,얼갈이배추,215,얼갈이배추(4kg),00,상품,04,4kg,당일 (04/17),5000.0,1일전 (04/16),4200.0,1주일전 (04/10),4600.0,2주일전 (04/03),4800.0,1개월전,4500.0,1년전,6320.0,일평년,5527.0,2020-04-17
11,얼갈이배추,215,얼갈이배추(4kg),00,중품,05,4kg,당일 (04/17),3900.0,1일전 (04/16),3100.0,1주일전 (04/10),3600.0,2주일전 (04/03),3800.0,1개월전,3520.0,1년전,5180.0,일평년,4297.0,2020-04-17
