,품목명,품목코드,품종명,품종코드,"상태(상품, 중품)",상태코드,단위,일자(조회일자),조회일자 가격,1일전 일자(조회일자 기준),1일전 가격,1주일전 일자(조회일자 기준),1주일전 가격,2주일전 일자(조회일자 기준),2주일전 가격,1개월전 일자(조회일자 기준),1개월전 가격,1년전 일자(조회일자 기준),1년전 가격,평년일자,평년 가격,날짜
16,오이,223,가시계통(10kg),01,상품,04,10kg,당일 (04/09),17000.0,1일전 (04/08),17500.0,1주일전 (04/02),16000.0,2주일전 (03/26),17500.0,1개월전,24900.0,1년전,15300.0,일평년,18797.0,2020-04-09
17,오이,223,가시계통(10kg),01,중품,05,10kg,당일 (04/09),13500.0,1일전 (04/08),14000.0,1주일전 (04/02),12500.0,2주일전 (03/26),14000.0,1개월전,21400.0,1년전,11800.0,일평년,14708.0,2020-04-09
18,오이,223,다다기계통(100개),02,상품,04,100개,당일 (04/09),38333.0,1일전 (04/08),41000.0,1주일전 (04/02),46000.0,2주일전 (03/26),44333.0,1개월전,59933.0,1년전,35867.0,일평년,39551.0,2020-04-09
19,오이,223,다다기계통(100개),02,중품,05,100개,당일 (04/09),32333.0,1일전 (04/08),35000.0,1주일전 (04/02),40000.0,2주일전 (03/26),38333.0,1개월전,54267.0,1년전,31133.0,일평년,32519.0,2020-04-09
20,오이,223,취청(50개),03,상품,04,50개,당일 (04/09),18000.0,1일전 (04/08),19000.0,1주일전 (04/02),20333.0,2주일전 (03/26),24333.0,1개월전,32500.0,1년전,19733.0,일평년,22261.0,2020-04-09
21,오이,223,취청(50개),03,중품,05,50개,당일 (04/09),13667.0,1일전 (04/08),14667.0,1주일전 (04/02),16000.0,2주일전 (03/26),19333.0,1개월전,27500.0,1년전,15733.0,일평년,17561.0,2020-04-09
16,오이,223,가시계통(10kg),01,상품,04,10kg,당일 (04/10),17000.0,1일전 (04/09),17000.0,1주일전 (04/03),16000.0,2주일전 (03/27),16500.0,1개월전,25300.0,1년전,15200.0,일평년,18942.0,2020-04-10
17,오이,223,가시계통(10kg),01,중품,05,10kg,당일 (04/10),13500.0,1일전 (04/09),13500.0,1주일전 (04/03),12500.0,2주일전 (03/27),13000.0,1개월전,21800.0,1년전,11700.0,일평년,14775.0,2020-04-10
18,오이,223,다다기계통(100개),02,상품,04,100개,당일 (04/10),36667.0,1일전 (04/09),38333.0,1주일전 (04/03),47000.0,2주일전 (03/27),43000.0,1개월전,59067.0,1년전,35667.0,일평년,39744.0,2020-04-10
19,오이,223,다다기계통(100개),02,중품,05,100개,당일 (04/10),30667.0,1일전 (04/09),32333.0,1주일전 (04/03),41000.0,2주일전 (03/27),37000.0,1개월전,53400.0,1년전,30867.0,일평년,32659.0,2020-04-10
20,오이,223,취청(50개),03,상품,04,50개,당일 (04/10),17333.0,1일전 (04/09),18000.0,1주일전 (04/03),20333.0,2주일전 (03/27),24000.0,1개월전,32700.0,1년전,19800.0,일평년,22522.0,2020-04-10
21,오이,223,취청(50개),03,중품,05,50개,당일 (04/10),13000.0,1일전 (04/09),13667.0,1주일전 (04/03),16000.0,2주일전 (03/27),19000.0,1개월전,27700.0,1년전,15733.0,일평년,17800.0,2020-04-10
16,오이,223,가시계통(10kg),01,상품,04,10kg,당일 (04/11),,1일전 (04/10),17000.0,1주일전 (04/04),,2주일전 (03/28),,1개월전,25300.0,1년전,15200.0,일평년,18942.0,2020-04-11
17,오이,223,가시계통(10kg),01,중품,05,10kg,당일 (04/11),,1일전 (04/10),13500.0,1주일전 (04/04),,2주일전 (03/28),,1개월전,21800.0,1년전,11700.0,일평년,14775.0,2020-04-11
