,품목명,품목코드,품종명,품종코드,"상태(상품, 중품)",상태코드,단위,일자(조회일자),조회일자 가격,1일전 일자(조회일자 기준),1일전 가격,1주일전 일자(조회일자 기준),1주일전 가격,2주일전 일자(조회일자 기준),2주일전 가격,1개월전 일자(조회일자 기준),1개월전 가격,1년전 일자(조회일자 기준),1년전 가격,평년일자,평년 가격,날짜
2,찹쌀,112,일반계(40kg),01,상품,04,40kg,당일 (04/09),108200.0,1일전 (04/08),108200.0,1주일전 (04/02),108200.0,2주일전 (03/26),108200.0,1개월전,108750.0,1년전,135600.0,일평년,98233.0,2020-04-09
3,찹쌀,112,일반계(40kg),01,중품,05,40kg,당일 (04/09),99200.0,1일전 (04/08),99200.0,1주일전 (04/02),99200.0,2주일전 (03/26),99200.0,1개월전,98750.0,1년전,130400.0,일평년,93067.0,2020-04-09
2,찹쌀,112,일반계(40kg),01,상품,04,40kg,당일 (04/10),108200.0,1일전 (04/09),108200.0,1주일전 (04/03),108200.0,2주일전 (03/27),108200.0,1개월전,108750.0,1년전,135600.0,일평년,98233.0,2020-04-10
3,찹쌀,112,일반계(40kg),01,중품,05,40kg,당일 (04/10),99200.0,1일전 (04/09),99200.0,1주일전 (04/03),99200.0,2주일전 (03/27),99200.0,1개월전,98750.0,1년전,130400.0,일평년,93067.0,2020-04-10
2,찹쌀,112,일반계(40kg),01,상품,04,40kg,당일 (04/11),,1일전 (04/10),108200.0,1주일전 (04/04),,2주일전 (03/28),,1개월전,108750.0,1년전,135600.0,일평년,98233.0,2020-04-11
3,찹쌀,112,일반계(40kg),01,중품,05,40kg,당일 (04/11),,1일전 (04/10),99200.0,1주일전 (04/04),,2주일전 (03/28),,1개월전,98750.0,1년전,130400.0,일평년,93067.0,2020-04-11
2,찹쌀,112,일반계(40kg),01,상품,04,40kg,당일 (04/13),108200.0,1일전 (04/12),,1주일전 (04/06),108200.0,2주일전 (03/30),108200.0,1개월전,108200.0,1년전,135600.0,일평년,98233.0,2020-04-13
3,찹쌀,112,일반계(40kg),01,중품,05,40kg,당일 (04/13),99200.0,1일전 (04/12),,1주일전 (04/06),99200.0,2주일전 (03/30),99200.0,1개월전,99200.0,1년전,130400.0,일평년,93067.0,2020-04-13
2,찹쌀,112,일반계(40kg),01,상품,04,40kg,당일 (04/14),108200.0,1일전 (04/13),108200.0,1주일전 (04/07),108200.0,2주일전 (03/31),108200.0,1개월전,108200.0,1년전,135600.0,일평년,98233.0,2020-04-14
3,찹쌀,112,일반계(40kg),01,중품,05,40kg,당일 (04/14),99200.0,1일전 (04/13),99200.0,1주일전 (04/07),99200.0,2주일전 (03/31),99200.0,1개월전,99200.0,1년전,130400.0,일평년,93067.0,2020-04-14
2,찹쌀,112,일반계(40kg),01,상품,04,40kg,당일 (04/15),,1일전 (04/14),108200.0,1주일전 (04/08),108200.0,2주일전 (04/01),108200.0,1개월전,108200.0,1년전,135600.0,일평년,98233.0,2020-04-15
3,찹쌀,112,일반계(40kg),01,중품,05,40kg,당일 (04/15),,1일전 (04/14),99200.0,1주일전 (04/08),99200.0,2주일전 (04/01),99200.0,1개월전,99200.0,1년전,130400.0,일평년,93067.0,2020-04-15
2,찹쌀,112,일반계(40kg),01,상품,04,40kg,당일 (04/16),108200.0,1일전 (04/15),,1주일전 (04/09),108200.0,2주일전 (04/02),108200.0,1개월전,108200.0,1년전,135600.0,일평년,98233.0,2020-04-16
3,찹쌀,112,일반계(40kg),01,중품,05,40kg,당일 (04/16),99200.0,1일전 (04/15),,1주일전 (04/09),99200.0,2주일전 (04/02),99200.0,1개월전,99200.0,1년전,130400.0,일평년,93067.0,2020-04-16
